_id,ilce_adi,mahalle_adi,arkeolojik_alan
520,Karapınar,KAYACIK,YOK
521,Karapınar,KAYALI,YOK
522,Karapınar,KAZANHÜYÜĞÜ,YOK
523,Karapınar,KÜÇÜKAŞLAMA,YOK
524,Karapınar,ORTAOBA,YOK
525,Karapınar,OYMALI,VAR
526,Karapınar,SAZLIPINAR,YOK
527,Karapınar,YAĞMAPINAR,YOK
528,Karapınar,YENİKUYU,YOK
529,Karapınar,YEŞİLYURT,YOK
530,Karatay,YARMA,VAR
531,Karatay,ACIDORT,YOK
532,Karatay,AĞSAKLI,YOK
533,Karatay,AKBAŞ,YOK
534,Karatay,AKÖRENKIŞLA,YOK
535,Karatay,BAKIRTOLU,YOK
536,Karatay,BAŞGÖTÜREN,YOK
537,Karatay,BEŞAĞIL,YOK
538,Karatay,BÜYÜKBURNAK,YOK
539,Karatay,ÇENGİLTİ,YOK
540,Karatay,DİVANLAR,YOK
541,Karatay,ESENTEPE,YOK
542,Karatay,GÖÇÜ,YOK
543,Karatay,HAYIROĞLU MERKEZ,YOK
544,Karatay,İPEKLER,YOK
545,Karatay,İSMİL,YOK
546,Karatay,KARADONA,YOK
547,Karatay,KARAKAYA,YOK
548,Karatay,KATRANCI,YOK
549,Karatay,KIZÖREN,YOK
550,Karatay,KÖSEALİ,YOK
551,Karatay,OBRUK,YOK
552,Karatay,OVAKAVAĞI,YOK
553,Karatay,SAKYATAN,YOK
554,Karatay,SÜRÜÇ,YOK
555,Karatay,ŞATIR,YOK
556,Karatay,YAĞLIBAYAT,YOK
557,Karatay,YAVŞANKUYU,YOK
558,Karatay,YENİCE,YOK
559,Karatay,YENİKENT,YOK
560,Karatay,ZİNCİRLİ,YOK
561,Kulu,ACIKUYU,YOK
562,Kulu,AĞILBAŞI,YOK
563,Kulu,ALTILAR,YOK
564,Kulu,ARŞINCA,YOK
565,Kulu,BEŞKARDEŞ,YOK
566,Kulu,BOĞAZÖREN,YOK
567,Kulu,BOZAN,YOK
568,Kulu,BURUNAĞIL,YOK
569,Kulu,CANIMANA,YOK
570,Kulu,CELEP,YOK
571,Kulu,DİPDEDE,YOK
572,Kulu,DOĞUTEPE,YOK
573,Kulu,FEVZİYE,YOK
574,Kulu,GÖKLER,YOK
575,Kulu,GÜZELYAYLA,YOK
576,Kulu,HİSAR,YOK
577,Kulu,KARACADAĞ,YOK
578,Kulu,KARACADERE,YOK
579,Kulu,KIRKKUYU,YOK
580,Kulu,KIRKPINAR,YOK
581,Kulu,KOZANLI,YOK
