_id,ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler
117,Beyşehir,ÜSTÜNLER,"YONCA, FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK"
118,Beyşehir,ÜZÜMLÜ,"ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN"
119,Beyşehir,YAZYURDU,"DOMATES, BİBER, PATLICAN, PATATES"
120,Beyşehir,YENİDOĞAN,"BUĞDAY, ARPA, ŞEKER PANCARI"
121,Beyşehir,YEŞİLDAĞ,"FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN"
122,Beyşehir,YUKARIESENCE,ŞEKER PANCARI
123,Beyşehir,YUNUSLAR,"MISIR, ELMA, CEVİZ, DOMATES, BİBER, PATLICAN, PATATES"
124,Beyşehir,ÇİFTLİK,"ŞEKER PANCARI, PATATES"
125,Beyşehir,ÇİVRİL,"ŞEKER PANCARI, ÜZÜM, DOMATES, PATATES"
126,Beyşehir,ÇUKURAĞIL,"ŞEKER PANCARI, MISIR, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
127,Bozkır,ÇAĞLAYAN,"ELMA, KİRAZ, VİŞNE, ÜZÜM"
128,Bozkır,HAMZALAR,"ELMA, KİRAZ, ÜZÜM, ÇİLEK"
129,Bozkır,AKÇAPINAR,"BUĞDAY, ARPA, NOHUT, ELMA, KİRAZ, DOMATES, BİBER, PATATES"
130,Bozkır,ARMUTLU,"ÇİLEK, PATATES"
131,Bozkır,ARSLANTAŞ,PATATES
132,Bozkır,AYDINKIŞLA,"DOMATES, PATATES"
133,Bozkır,AYVALCA,"ELMA, KİRAZ, DOMATES, PATATES"
134,Bozkır,BAĞYURDU,"ELMA, KİRAZ, ARMUT"
135,Bozkır,BAYBAĞAN,"DOMATES, BİBER, PATATES, SARIMSAK, MARUL"
136,Bozkır,BOZDAM,ELMA
137,Bozkır,DEREİÇİ,"KİRAZ, ÜZÜM"
138,Bozkır,DEREKÖY,"ELMA, PATATES"
139,Bozkır,ELMAAĞAÇ,YOK
140,Bozkır,HACILAR,"ELMA, KİRAZ"
141,Bozkır,HACIYUNUSLAR,PATATES
142,Bozkır,HARMANPINAR,"ELMA, KİRAZ"
143,Bozkır,HİSARLIK,ÜZÜM
144,Bozkır,IŞIKLAR,"ELMA, KİRAZ, PATATES, SOĞAN"
145,Bozkır,KARABAYIR,"FASULYE, PATATES"
146,Bozkır,KARACAARDIÇ,"ELMA, MERCİMEK"
147,Bozkır,KARACAHİSAR,PATATES
148,Bozkır,KARAYAHYA,YOK
149,Bozkır,KAYACILAR,"KAVUN, KARPUZ"
150,Bozkır,KAYAPINAR,"ÜZÜM, PATATES"
151,Bozkır,KINIK,"ELMA, ÜZÜM"
152,Bozkır,KIZILÇAKIR,YOK
153,Bozkır,KİLDERE,"BUĞDAY, NOHUT, MERCİMEK"
154,Bozkır,KOVANLIK,"ELMA, DOMATES, PATATES"
155,Bozkır,KOZAĞAÇ,"ELMA, KİRAZ, ERİK, CEVİZ"
156,Bozkır,KUŞÇA,"BUĞDAY, ARPA, NOHUT"
157,Bozkır,KÜÇÜKHİSARLIK,"ELMA, KİRAZ, ÜZÜM, DOMATES, PATLICAN"
158,Bozkır,PINARCIK,"KİRAZ, ÇİLEK, DOMATES, BİBER, PATATES"
159,Bozkır,SARIOĞLAN,"BUĞDAY, ARPA, NOHUT"
160,Bozkır,SAZLI,"ELMA, KİRAZ"
161,Bozkır,SOĞUCAK,"KİRAZ, ÇİLEK, PATATES"
162,Bozkır,SORKUN,"FASULYE, PATATES"
163,Bozkır,SÖĞÜT,"ELMA, PATATES"
164,Bozkır,TARLABAŞI,"FASULYE, DOMATES, PATATES"
165,Bozkır,TAŞBAŞI,YOK
166,Bozkır,TEPEARASI,"ELMA, KİRAZ, DOMATES, PATATES"
167,Bozkır,TEPELİCE,"BUĞDAY, ARPA, NOHUT"
168,Bozkır,ULUPINAR,"KİRAZ, DOMATES, PATATES"
169,Bozkır,ÜÇPINAR,"ELMA, PATATES"
170,Bozkır,YALNIZCA,PATATES
171,Bozkır,YAZDAMI,"ELMA, KİRAZ, ÜZÜM, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
172,Bozkır,YELBEYİ,"ELMA, KİRAZ, ÜZÜM"
173,Bozkır,YENİKÖY,"KİRAZ, ÜZÜM"
174,Bozkır,YOLÖREN,"ELMA, ERİK, DOMATES, SALATALIK"
175,Çeltik,GÖKPINAR,"ŞEKER PANCARI, AYÇİÇEĞİ, SOĞAN"
176,Çeltik,ADAKASIM,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, REZENE"
177,Çeltik,DOĞANYURT,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
178,Çeltik,KAŞÖREN,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KANOLA"
179,Çeltik,KÜÇÜKHASAN,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES"
180,Çeltik,TORUNLAR,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ"
181,Çeltik,İSHAKUŞAĞI,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, REZENE"
182,Çeltik,HONAMLI,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
183,Cihanbeyli,BÖĞRÜDELİK,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
184,Cihanbeyli,YAPALI,"ŞEKER PANCARI, AYÇİÇEĞİ"
185,Cihanbeyli,YENİCEOBA,ŞEKER PANCARI
186,Cihanbeyli,CUMHURİYET,YOK
187,Cihanbeyli,GEMECİK,"ŞEKER PANCARI, MISIR"
188,Cihanbeyli,GÖKTEPE,YOK
189,Cihanbeyli,AĞABEYLİ,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
190,Cihanbeyli,HODOĞLU,YOK
191,Cihanbeyli,KAYI,"ŞEKER PANCARI, MISIR"
192,Cihanbeyli,KIRKIŞLA,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
193,Cihanbeyli,KORKMAZLAR,"BUĞDAY, ARPA"
194,Cihanbeyli,KÜÇÜKBEŞKAVAK,"BUĞDAY, ARPA"
195,Cihanbeyli,MUTLUKONAK,"BUĞDAY, ARPA, ELMA, KİRAZ, VİŞNE, ÜZÜM"
196,Cihanbeyli,SAĞLIK,YOK
197,Cihanbeyli,SIĞIRCIK,"BUĞDAY, ARPA, AYÇİÇEĞİ"
198,Cihanbeyli,TURANLAR,YOK
199,Cihanbeyli,TÜFEKÇİPINAR,"ŞEKER PANCARI, AYÇİÇEĞİ, FASULYE"
200,Cihanbeyli,UZUNCAYAYLA,"MISIR, AYÇİÇEĞİ"
201,Cihanbeyli,YÜNLÜKUYU,YOK
202,Cihanbeyli,ZAFERİYE,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES"
203,Cihanbeyli,GÖLYAZI,"ŞEKER PANCARI, MISIR"
204,Cihanbeyli,GÜNYÜZÜ,"ŞEKER PANCARI, AYÇİÇEĞİ"
205,Cihanbeyli,İNSUYU,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
206,Cihanbeyli,KANDİL,"BUĞDAY, ARPA, NOHUT, MERCİMEK, KİMYON"
207,Cihanbeyli,KARABAĞ,YOK
208,Cihanbeyli,KELHASAN,"AYÇİÇEĞİ, YONCA"
209,Cihanbeyli,KUŞCA,"ŞEKER PANCARI, MISIR"
210,Cihanbeyli,KÜTÜKUŞAĞI,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ"
211,Cihanbeyli,TAŞPINAR,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
212,Cihanbeyli,BEYLİOVA,"MISIR, AYÇİÇEĞİ, PATATES"
213,Cihanbeyli,ÇİMEN,ŞEKER PANCARI
214,Cihanbeyli,ÇÖL,"ŞEKER PANCARI, MISIR"
215,Cihanbeyli,DAMLAKUYU,YOK
216,Cihanbeyli,BULDUK,YOK
217,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
218,Cihanbeyli,KARATEPE,YOK
219,Çumra,ARIKÖREN,"ŞEKER PANCARI, MISIR"
220,Çumra,DEDEMOĞLU,"ŞEKER PANCARI, MISIR"
221,Çumra,TÜRKMENCAMİLİ,"ŞEKER PANCARI, MISIR"
222,Çumra,A.B.HÜYÜĞÜ,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
223,Çumra,DİNEK,"ŞEKER PANCARI, MISIR, FASULYE"
224,Çumra,İÇERİÇUMRA,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
225,Çumra,GÜVERCİNLİK,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, DOMATES"
226,Çumra,KARKIN,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN"
227,Çumra,OKÇU,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
228,Çumra,YENİSU,"ŞEKER PANCARI, MISIR, KAVUN, KARPUZ"
229,Çumra,APA,"BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE"
230,Çumra,ABDİTOLU,"BUĞDAY, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
231,Çumra,ADAKALE,"ŞEKER PANCARI, MISIR, YONCA"
232,Çumra,ALEMDAR,"ŞEKER PANCARI, MISIR, FASULYE"
233,Çumra,APASARAYCIK,"MISIR, FASULYE"
234,Çumra,AFŞAR,YOK
235,Çumra,AVDUL,"ŞEKER PANCARI, MISIR, FASULYE"
236,Çumra,BALÇIKHİSAR,"ŞEKER PANCARI, MISIR, FASULYE, KAVUN, KARPUZ"
237,Çumra,BEYLERCE,"BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE"
238,Çumra,B.AŞLAMA,"MISIR, AYÇİÇEĞİ"
239,Çumra,CİCEK,"BUĞDAY, ARPA, FASULYE, DOMATES"
240,Çumra,ÇUKURKAVAK,"BUĞDAY, ARPA"
