tarih;sogan_yesil_(yerli);turp_kirmizi_(yerli);semiz_otu(bag)_yerli;armut_(yerli);biber_carli_(yerli);maydonoz_(yerli)_bag;kiraz_(yerli);biber_kÄ±l_(yerli);havuc;visne_(yerli);biber_sivri_(yerli);salatalik_(yerli);patlican_(yerli);kayisi_(yerli);marul_(yerli)adet;kabak_(yerli);fasulye_(yerli);domates_(yerli);biber_dolma_(yerli);kabak_(beyaz);misir_(taze)adet;patates(ii.);domates_(ceri);marul_(mor)adet;marul_(muhtelif)adet;marul_(aysberk)adet;biber_(koy);brokoli;patates_(taze);domates_(ii);sogan_taze_(yesil);biber_(ii);roka(bag);patates;pirasa;pazi;barbunya;turp_muhtelif;tere;sogan_(goger);salatalik_(silor);salatalik_(muhtelif);sogan_(kÄ±rmÄ±zÄ±);sogan_(kuru);sarimsak_(kuru);sarimsak_(taze);semiz_otu(bag);pancar_(kÄ±rmÄ±zÄ±);salatalik_(kornison);lahana_(buruksel);asma_yapragi;hirtlak;domates_(koy);karpuz_(ithal);fasulye_(muhtelif);feslegen(reyhan)bag;ispanak;karnabahar;kereviz;kabak_(kara);kabak_(bal);kavun_(ithal);enginar(adet);dere_otu_(bag);bakla;bezelye_(araka);biber_(sivri);biber_(dolma);biber_(carli);biber_(cin);biber_salcalÄ±k_(kapya);biber_kÄ±l;lahana_(beyaz);lahana_(mor);biber_(kÄ±l);patlican_(kemer);mandalin_(ii);domates_(salkÄ±m);domates_(muhtelif);dometes_(salcalÄ±k);salatalik_(ii);sogan_(ii);limon_(ii);nane(bag);patlican_(topak);mantar_(kultur);maydonoz_(bag);patates;bamya;eksi_ot_(bag);incir;kestane;hurma
2.04.2020;0.7;1;2;1.5;1;1.5;5;5;1.5;0.5;2;1;1;0.5;10;1.5;1;1.5;30;0.7;4;5;1;1;1;1;1;0.7;10;0.5;1.5;5;5;4;10;4;0.5;0.7;9;1;1.5;0.7;0.5;1;7;0.5;0.5;3.5;3;2.5;1.5;4;6;7.5;5;8;5;4.5;4;0.7;4;4;10;2.5;2.5;1;5;6;6;1.5;5;6;2.5;2;;;;;;;;;;;;;;;;;;;
31.03.2020;0.7;1;2;1.5;1;1.5;5;5;1.5;0.5;2;1;1;0.5;10;1.5;1;1.5;30;0.7;4;5;1;1;1;1;1;0.7;10;0.5;3;5;5;4;10;4;0.5;0.7;9;1;1.5;0.7;0.5;1;7;0.5;0.5;3.5;3;2.5;1.5;5;6;7.5;5;10;5;4.5;4;0.7;3;4;10;2.5;2.5;1;5;7;6;1.5;6;2.5;2;;;;;;;;;;;;;;;;;;;;
26.03.2020;0.7;1.5;2;2.5;1.5;2;5;5;1.5;0.5;2;1;1;0.5;10;3;2;1.5;30;0.7;4;5;1;1;1.5;2;1;0.7;10;0.7;3;5;5;4;10;4;0.7;0.7;9;1.5;1.5;0.7;0.7;1.5;7;0.5;0.5;3.5;3;2.5;1.5;5;6;7.5;6;5;4.5;4;0.7;3;4;10;2;2;1;5;7;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;
23.03.2020;0.7;3;2;2.5;1.5;2;7;4;3;0.5;2;1;1;0.5;12;4;3;1.5;30;0.7;4;10;1;1;1.5;2;2;0.7;10;0.7;3;7;6;4.5;10;6;0.7;0.7;9;4;2.5;0.7;0.7;4;7;0.5;0.5;3.5;3;2.5;1.5;6;7.5;6;5;9;4;0.7;3;4;2;2;1;5;3.5;7;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;;
19.03.2020;0.7;3;5;2.5;1.5;2;7;2.5;3;0.5;1.5;1;0.5;0.5;12;4;3;20;0.7;4;10;1;1;1;2;2;0.7;10;0.7;3;7;6;4.5;10;6;0.7;0.7;9;4;2.5;1.5;0.7;4;7;0.5;0.5;3.5;3;2.5;1.5;7.5;6;5;4.5;4;0.7;3;4;2;2;1;5;3.5;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
16.03.2020;0.7;3;5;3;1.5;2;6;2.5;2;0.5;1;1;0.5;0.5;12;4;3;1;20;0.7;4;10;1;1;1;2;2;0.7;10;0.7;3;6;6;4.5;10;6;0.7;0.7;9;4;2.5;1.5;0.7;4;7;0.5;0.5;3.5;3;2.5;1.5;4;7.5;6;5;3.5;4;0.7;3;8;2;2;1;5;3.5;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;;;
12.03.2020;0.7;3.5;5;3;1.5;2;6;2.5;4;0.5;1;1;0.5;0.5;12;4;3;1;20;0.7;4;10;1;1;1;1.5;2.5;0.7;14;0.7;2.5;6;6;3;8;6;0.7;0.7;9;3.5;3;2;0.7;4;7;0.5;0.5;3.5;3;2.5;1.5;4;7.5;6;5;3.5;4;0.7;3;8;2;2;1;5;3.5;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;;;
9.03.2020;0.7;3.5;5;3;1.5;2;4.5;2.5;4;0.5;1;1.2;0.5;0.5;12;4;3;1;15;0.7;4;8;1;1;1;2;2.5;0.7;14;0.7;5;6;3;8;6;0.7;0.7;9;3.5;3;2;0.7;4;7;0.5;0.5;3.5;3;2.5;1.5;4;7.5;3.5;5;3.5;4;0.7;3;8;2;2;1;5;3.5;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;;;;
5.03.2020;0.7;4;5;3;1.5;2;6;2.5;4;0.5;1;1.2;0.5;0.5;4.5;3;1;15;0.7;4;8;1;1;1;2;2.5;0.7;14;0.7;5;6;3.5;8;6;0.7;0.7;9;4;3;2;0.7;4;7;0.5;0.5;3.5;3;2.5;1.5;4;7.5;6;5;3.5;4;0.7;3;8;2;2;1;5;3.5;6;1.5;6;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
2.03.2020;0.7;4;5;3;1.5;2;7;2.5;5;0.5;1;1.2;0.5;0.5;4.5;3.5;1;15;0.7;8;1;1;1;2;3;0.7;0.7;5;6;3.5;8;6;0.7;0.7;9;4;3;2;0.7;5;7;0.5;0.5;8;3.5;3;2.5;1.5;4;7.5;6;5;3.5;4;0.7;3;10;2;2;1;5;4;3.5;6;1.5;6;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;
27.02.2020;0.7;4;5;3;1.5;2;7;2.5;7;0.5;1;1.2;0.5;0.5;5;4;1;15;0.7;8;1;1.5;1;2;3;0.7;0.7;5;6;3.5;8;6;0.7;0.7;9;5;3;2;0.7;5;7;0.5;0.5;8;3.5;3;2.5;1.5;4;7.5;6;5;3.5;4;0.7;3;10;2;2;1;5;4;3.5;6;1.5;6;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;
24.02.2020;0.7;4;4;3;1.5;2;6;2.5;7;0.5;1;1.2;0.5;0.5;6;5;1;15;0.7;8;1;1.5;1;2;4;0.7;0.5;4;6;3.5;8;6;0.7;0.7;7;5;3;2;0.7;5;7;0.5;0.5;8;3.5;3;2.5;1.5;3;7.5;6;5;3.5;4;0.7;2.5;10;2;2;1;5;4;3.5;6;1.5;6;6;2;;;;;;;;;;;;;;;;;;;;;;;;;
20.02.2020;0.7;4;4;3;1.5;2;6;2.5;7;0.5;1;1.2;0.5;0.5;6;5;1;15;0.7;8;1;1.5;1;2;4;0.7;0.7;4;6;3.5;8;6;0.7;0.7;7;4;3;2;0.7;5;7;0.5;0.5;8;2;3;2;1.5;3;7.5;6;5;3;4;0.7;2.5;10;2;2;1;5;4;3.5;6;1.5;6;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;
17.02.2020;0.7;4;4;3;1.5;2;6;2.5;7;0.5;1;1.2;0.5;0.5;6;5;1;15;0.7;8;1;1.5;1;2;4;0.7;0.7;4;6;3.5;8;6;0.7;0.7;7;4;3;2;0.7;5;7;0.5;0.5;8;2;3;2;4;1.5;3;7.5;6;5;3;4;0.5;2.5;7;2;2;1;4.5;4;3.5;6;1.5;6;2;6;2;;;;;;;;;;;;;;;;;;;;;;;
13.02.2020;0.7;3.5;4;3;1.5;2;5;2.5;7;0.5;1;1.2;0.5;0.5;4.5;4.5;1;15;0.7;8;1;2;1;2;3.5;0.7;0.7;4;6;3;5;6;0.7;0.7;7;4;3;2;0.7;5;7;0.5;0.5;8;2;3;2;4;1.5;3;7.5;6;5;2;4;0.5;2.5;7;2;2;1;3.5;4;3.5;6;1.5;6;2;6;2;;;;;;;;;;;;;;;;;;;;;;;
10.02.2020;0.7;3.5;4;3;1.5;2;4;2.5;7;0.5;0.8;1.2;0.5;0.5;4.5;4;1;15;0.7;8;1;2;1.5;2;3.5;0.7;0.7;3;6;3;5;5.5;0.7;0.7;7;4;3.5;2.5;0.7;5;7;0.5;0.5;8;2;3;2;4;1;3;7.5;6;4;2;4;0.5;2.5;8;2;2;1;3.5;3;3.5;4.5;1.5;6;2;4;2;;;;;;;;;;;;;;;;;;;;;;;
6.02.2020;0.7;3.5;4;2;1.5;2;4;2.5;7;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;8;1;2;1.5;2;3.5;0.7;0.7;3;4;2.5;5;4.5;0.7;0.7;7;3;4;2.5;0.7;5;7;0.5;0.5;8;5;2;1.5;2;4;1;3;7.5;6;4;2;4;0.5;2;7;2;2;1;3.5;3;3.5;4.5;1.5;6;3;2;4;2;;;;;;;;;;;;;;;;;;;;;
3.02.2020;0.7;3.5;4;2;1.5;2;4;2.5;7;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;8;1;2;1.5;2;3.5;0.7;0.7;3;4;2.5;5;4.5;0.7;0.7;7;3;4;2.5;0.7;5;7;0.5;0.5;8;5;2;1.5;2;4;1;3;7.5;6;4;2;4;0.5;2;7;2;2;1;3.5;3;3.5;4.5;1.5;6;3;2;4;2;;;;;;;;;;;;;;;;;;;;;
30.01.2020;0.7;3.5;4;2;1.5;2;4;2.5;7;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;8;1;2;1.5;2;3.5;0.7;0.7;3;4;2.5;5;4.5;0.7;0.7;7;3;4;2.5;0.7;5;7;0.5;0.5;8;5;2;1.5;2;4;1;3;7.5;6;4;2;4;0.5;2;7;2;2;1;3.5;3;3.5;4.5;1.5;6;3;2;4;2;;;;;;;;;;;;;;;;;;;;;
27.01.2020;0.7;3;4;2;1.2;2;4;2.5;7;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;5;0.7;1.5;1.5;2;3;0.7;0.5;3;4;2.5;5;4.5;0.7;0.7;7;3;4;2.5;0.7;5;7;0.5;0.5;8;5;2;1.5;2;4;1;3;7.5;5;4;2;4;0.5;2;5;1.5;2;1;3.5;3;3.5;4.5;1.5;6;3;2;4;2;;;;;;;;;;;;;;;;;;;;;
23.01.2020;0.7;3;4;2;1.2;2;4;2.5;5;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;5;0.7;1.5;1;2;3.5;0.7;0.5;3;4;2.5;5;4.5;0.7;0.7;7;3;4;2.5;0.7;5;7;0.5;0.5;8;5;2;1.5;2;4;1;3;7.5;5;4;2;4;0.5;2;5;1.5;2;1;3.5;3;3.5;4.5;1.5;6;3;2;4;2;;;;;;;;;;;;;;;;;;;;;
20.01.2020;0.7;3.5;4;2;1.2;2;4;2.5;5;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;5;0.7;1;1;2;4;0.7;0.5;3;4;2.5;5;4.5;0.7;0.7;7;4;4;2.5;0.7;5;7;0.5;0.5;8;5;2;1.5;2;4;1;3;7;5;4;2;4;0.5;2;5;1.5;2;1;3.5;3;3.5;4.5;1.5;6;3;2;3;2;;;;;;;;;;;;;;;;;;;;;
16.01.2020;0.7;3.5;4;2;1.2;1.5;4;2.5;4;0.5;0.8;1.2;0.5;0.5;4.5;3.5;1;15;0.7;5;0.7;1;1;2;4;0.7;2.5;4;2.5;5;4.5;0.7;0.7;7;5;4;2.5;0.7;5;7;0.5;0.5;8;4;2;1.5;2;3.5;1;3;7.5;4.5;4;2;4;0.5;2;5;1.5;2;1;3.5;3.5;4.5;1.5;6;3;2;3;2;;;;;;;;;;;;;;;;;;;;;;;
13.01.2020;0.7;2;4;1.2;1.2;1.5;4;2;4;0.5;0.8;1.2;0.5;0.5;3.5;2.5;1;15;0.7;5;0.7;1;1;2;3.5;0.7;0.5;2.5;4;2.5;5;4.5;0.7;0.7;7;4;4;2.5;0.7;4;7;0.5;0.5;8;4;2;1.5;2;2;1;3;7.5;4.5;4;1.5;4;0.5;2;5;1.5;2;1;3.5;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;
9.01.2020;0.7;2;4;1.2;1.2;1.5;4;2;4;0.5;0.8;1.2;0.5;0.5;3.5;2.5;1;15;0.7;5;0.7;1;1;2;3.5;0.7;0.5;2.5;4;2.5;5;4.5;0.7;0.7;7;4;4;2.5;0.7;4;7;0.5;0.5;8;4;2;1.5;2;2;1;3;7.5;4.5;4;1.5;4;0.5;2;5;1.5;2;1;3.5;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;
6.01.2020;0.7;1.5;4;1.2;1.2;1.2;3.5;2;4;0.5;0.8;1.2;0.5;0.5;3;2.5;1;15;0.7;5;0.7;1;1;2;2;0.7;0.5;2.5;3;2.5;5;4.5;0.7;0.7;5.5;3;4;2;0.7;3;7;0.5;0.5;8;4;2;1.5;2;2;1;3;7.5;4.5;2;1.5;4;0.5;2;5;1.5;2;1;3.5;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;
2.01.2020;0.5;1;4;1.2;1.2;1.2;2.5;2;4;0.5;0.8;1.2;0.5;0.5;2;2;1;15;0.7;5;0.7;1;1;2;2;0.6;0.5;2;3;1.5;5;3.5;0.5;0.5;4.5;2;4;2;0.5;2.5;7;0.5;0.5;8;4;2;1.5;2;2;1;3;7.5;4.5;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;
30.12.2019;0.5;1;4;1.2;1.2;1.2;2.5;2;4;0.5;0.8;1.2;0.5;0.5;2;2;1;15;0.7;5;0.7;1;1;2;2;0.6;0.5;2.5;3;1.5;5;3.5;0.5;0.5;4.5;2;4;2;0.5;2.5;7;0.5;0.5;8;4;2;1.5;2;2;1;3;7.5;4.5;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;
26.12.2019;0.4;1;3;1;1;1;2.5;2;4;0.5;0.8;1.2;0.5;0.5;2.5;2;1;15;0.7;5;0.7;1;1;2;2;0.6;0.5;2.5;3;1.5;5;3.5;0.5;0.5;3.5;1.7;3;2;0.5;1.5;7;0.3;0.5;8;4;2;1;2;2;1;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;
23.12.2019;0.4;1;3;1;1;1;2.5;2;4;0.5;0.8;1.2;0.5;0.5;2.5;2.5;1;15;0.7;5;0.7;1;1;2;2;0.6;0.5;2.5;3;1.5;5;3.5;0.5;0.5;3.5;1.7;2.5;2;0.5;1.5;7;0.3;0.5;8;4;2;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;3;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;;
19.12.2019;0.4;2;3;1;1;1;2.5;2;4;0.5;0.8;1.2;0.7;0.5;1.5;1.5;1;15;0.7;4;0.7;1;1.5;2;2;0.6;0.5;2.5;3;1.5;4;3.5;0.5;0.5;3.5;1.7;2.5;2;0.5;1.5;7;0.3;0.5;8;4;2;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;;;
16.12.2019;0.5;2;3;1;0.7;1;2.5;2;4;0.5;0.8;1.2;0.7;0.5;1.5;1.5;0.7;15;0.7;2;0.7;1;2;2;2;0.6;0.5;2.5;3;1.5;4;3.5;0.5;0.5;3.5;1.7;2.5;2;0.5;1.5;7;0.3;0.5;8;4;2;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;;;
12.12.2019;0.5;1;3;1;0.7;1;2.5;1.5;3.5;0.5;0.8;1.2;0.7;0.5;1.5;1;0.7;15;0.7;2;0.7;1;1;2;1.5;0.6;0.5;2;2.5;1.5;2.5;3.5;0.5;0.5;3;1.2;2.5;1;0.5;1;7;0.3;0.5;8;3;2;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;;;
9.12.2019;0.5;1;3;1;0.7;1;2;1.5;3.5;0.5;0.8;1;0.7;0.5;1.5;1.5;0.5;15;0.7;2;0.7;1;0.7;2;1;0.6;0.5;2.5;2;2;1.5;3.5;0.5;0.5;3;1.2;2.5;1;0.5;1;7;0.3;0.5;8;3;2;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;;;
5.12.2019;0.5;1;3;1;0.7;1;2;1.5;3.5;0.5;1;1;0.7;0.5;1.5;1.5;0.8;15;0.7;2;0.7;1;0.7;1.5;1;0.6;0.5;2;2;1.5;2.5;3.5;0.5;0.5;3;1.2;2.5;1;0.5;1;7;0.3;0.5;8;3;2;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1.5;2;1;3;3.5;4.5;1.5;6;2;2.5;2;;;;;;;;;;;;;;;;;;;;;;;;
2.12.2019;0.5;1;2;1;0.5;0.8;1.5;1.5;2.5;0.5;1;1;0.7;0.5;1.5;1;0.8;15;0.7;2;0.7;1;0.7;1.5;1;0.6;0.5;1.5;2;1;1.5;2;0.5;0.5;3;0.7;2.5;1;0.5;1;7;0.3;0.5;8;1.5;1;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1;1;1;3;3.5;3;1.5;6;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;
28.11.2019;0.5;1;2;1;0.5;0.8;1.5;1.5;2.5;0.5;1;1;0.7;0.5;1.5;1;0.5;15;0.7;2;0.7;1;0.7;1.5;1;0.6;0.5;1.5;2;1;1.5;2;0.5;0.5;3;0.7;2.5;1;0.5;1;7;0.3;0.5;8;1.5;1;0.7;2;0.7;3;7.5;4;2;1.5;4;0.5;2;7;1;1;0.7;3;3.5;3;1.5;6;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;
25.11.2019;0.5;1;2;1;0.5;0.8;1.5;1.5;2.5;0.5;1;1;0.7;0.5;1.5;1;0.5;15;0.7;2;0.7;1;0.7;1.5;1;1;0.5;1.5;2;1;1.5;2;0.5;0.5;3;0.7;2.5;1;0.5;1;7;0.3;0.5;8;1.5;1;1;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1;3;3.5;3;1.5;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.2019;0.5;1;2;1;0.5;0.8;1.5;1.5;2.5;0.5;1;1;0.7;0.5;1.5;1;0.5;15;0.7;2;0.7;1;0.7;1.5;1;1;0.5;1.5;2;1;1.5;2;0.5;0.5;3;0.7;2.5;1;0.5;1;7;0.3;0.5;8;1.5;1;1;0.7;3;7.5;4;2;1.5;4;0.5;2;5;1;3;3.5;3;1.5;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.2019;0.5;1;2;1;0.5;0.8;1.5;1.5;2.5;0.5;1;1.5;0.7;0.5;1;1;0.5;15;0.7;2;0.7;1;0.7;1.5;1;1;0.5;1.5;2;1;1.5;2;0.5;0.5;3;0.7;2.5;1;0.5;1;7;0.3;0.5;8;1.5;1;1;1;3;7.5;4;2;1.5;4;0.5;2;5;1;3;3.5;3;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2019;0.5;1;1;1;0.5;0.8;1;1.5;2;0.5;1;1;0.7;0.5;1;1;0.5;15;0.7;1.5;0.7;1;0.6;1.5;1;1;0.5;1;2;1;1.5;0.5;0.5;1.5;0.5;2.5;1;0.5;1;7;0.3;0.5;10;1.5;1;1;1;3;7.5;4;2;1.5;4;0.5;2;5;1;3;3.5;1.5;2;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.2019;0.5;1;1;1;0.5;0.8;1;1.5;2;0.5;1;1.5;0.7;0.5;1;1;0.5;15;0.7;1.5;0.7;1;0.6;1.5;1;1;0.5;1;2;1;2;2;0.5;0.5;1.5;0.5;2.5;1;0.5;1;7;0.3;0.5;10;1.5;1;1;1;4;7.5;4;2;1.5;4;0.7;2;5;1;3;3.5;1.5;6;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.11.2019;0.5;1;1;1;0.5;0.8;1;1.5;2;0.5;1;1.5;0.7;0.5;1;1;0.5;15;0.7;1.5;0.7;1;0.6;1.5;1;1;0.5;1;1.5;1;3;2;0.5;0.5;1.5;0.5;2.5;0.7;0.5;1;7;0.3;1.5;0.5;10;1.5;1;1;1;4;7.5;4;2;1.5;4;1;2;5;1;3;1.5;6;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.11.2019;0.5;1;1;1;0.5;0.8;1;1.5;2;0.5;1;1.5;0.7;0.5;1.5;1;0.5;15;0.7;1.5;0.7;1;0.6;1.5;1;1;0.5;1;1.5;1;3;0.5;0.5;1.5;0.5;2.5;0.5;0.5;1;7;0.3;1.5;0.5;10;1.5;1;1;1.5;4;7.5;4;2;1.5;4;1;2;5;1;3;0.3;1.5;6;0.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.10.2019;0.3;2;0.5;1;1;1;0.8;1;1.5;0.5;1;1;1;1;0.5;0.8;1;3;2;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.7;1.5;0.7;1;1;2.5;1;1;0.5;1;1.5;1;3;2;0.5;0.5;1.5;0.5;2.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;13;1.5;1;1;1.5;4;8;4;2;1.5;4;1;2;5;1;3;0.3;1.5;6;0.7;0;;;;;;;;;;;;;;;
28.10.2019;0.3;2;0.5;1;1;1;0.8;1;1.5;0.5;1;1;1;1;0.5;0.8;1;3;2;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.7;1;1.5;0.7;1;1;2.5;1;1;0.5;1;1.5;1;3;2;0.5;0.5;1.5;0.5;2.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;13;1.5;1.5;1;1.5;4;8;4;2;1.5;4;1;2;5;1;3;0.3;1.5;6;0.7;0;;;;;;;;;;;;;;
24.10.2019;0.3;2;0.5;1;1;1;0.8;1;1.5;0.5;1;1;1;1;0.5;0.8;1;3;2;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.7;1;1.5;0.7;1;1;2.5;1;1;0.5;5;1;1.5;1;3;2;0.5;0.5;1.5;0.5;2.5;0.5;0.5;1;7;0.3;1.5;0.5;6;13;1.5;1.5;1;1.5;4;8;4;1.5;4;1;2;5;2;1;3;0.3;1.5;6;0.7;0;;;;;;;;;;;;;;
21.10.2019;0.3;2;0.5;1.5;1;1;0.8;1;1;0.5;1.5;1;1;1;0.5;0.8;1;3;2;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.5;1;1.5;0.5;1.5;1;1.5;1;1;0.5;1;1.5;1;3.5;1.5;0.5;0.5;1.5;0.5;2.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;1.5;1.5;1;1.5;4;8;4;1.5;4;1;2;5;1;3;0.3;3;1.5;2.5;6;0.7;0;;;;;;;;;;;;;;
17.10.2019;0.3;2;0.5;1.5;1;1;0.8;1;1;0.5;1.5;1;1;1;0.5;0.8;1;3;2;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.5;1;1.5;0.5;1.5;1;1.5;1;1;0.5;1;1.5;1;3.5;1.5;0.5;0.5;1.5;0.5;2.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;1.5;1;1.5;4;8;5.5;2;1.5;4;1;2;5;1;3;0.3;3;1.5;2.5;6;0.7;0;;;;;;;;;;;;;;
14.10.2019;0.3;2;0.5;1.5;1;0.8;1;1;0.5;1.5;1;1;1;0.5;0.8;1;3;2;1.5;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.5;1;1.5;0.5;1.5;1;1.5;1;1;0.5;1;1.5;1;3.5;1.5;0.5;0.5;0.5;2.5;0.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;1.5;1.5;1;1.5;4;8;5.5;2;1.5;4;1;2;5;1;3;0.3;3;1.5;2.5;6;0.7;0;;;;;;;;;;;;;
10.10.2019;0.3;2;0.5;1.5;1;0.8;1;1;0.5;1.5;1;0.7;1.5;1;0.5;0.8;1.5;3;2;0.5;1;1.5;5;0.7;0.5;1.5;1;0.5;15;0.5;1;1.5;0.5;1.5;1.5;1.5;1;1;0.5;1.5;2;2;3.5;1.5;0.5;0.5;3.5;0.5;2.5;0.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;1.5;1.5;1;1.5;4;8;5.5;2;1.5;4;1;2;5;1;3;0.3;3;1.5;2.5;6;0.7;0;;;;;;;;;;;;
7.10.2019;0.3;2;0.5;1.5;1;1;0.8;1;1;0.5;1.5;1;0.7;1.5;1;0.5;0.8;1.5;3;2;0.5;1;5;1;0.5;1.5;1;0.5;15;0.5;1;1.5;0.5;1.5;1.5;1.5;1;1;0.5;1.5;2;2;3.5;1.5;0.5;0.5;3.5;0.5;2.5;0.5;0.5;0.5;1;7;0.3;1.5;5;0.5;6;1.5;1.5;1;1.5;4;8;5.5;2;1.5;4;1;2;5;1;3;0.3;3;1.5;2.5;6;0.7;0;;;;;;;;;;;;
3.10.2019;0.3;2;0.5;1.5;1;1;0.8;1;1;0.5;1.5;1;0.7;1.5;1;0.5;0.8;1.5;3;2;0.5;1;5;1;0.5;1.5;1;0.5;15;0.5;1.5;1;1.5;0.5;1.5;1.5;1.5;1;1;0.5;1.5;2;2;3.5;1.5;0.5;0.5;2;1;1.5;0.5;0.5;0.5;1.5;7;0.3;1.5;5;0.5;5;1.5;1.5;1;1.5;4;8;5.5;2;4;1;2;5;1;3;0.3;3;2;1.5;2.5;6;0.5;0;;;;;;;;;;;
30.09.2019;0.3;2;0.5;1.5;1;0.8;1;1;0.5;1.5;1;0.7;1.5;1;0.5;0.8;1.5;3;2;0.5;1;5;1;0.5;1.5;1;0.5;15;0.5;1.5;1;1.5;0.5;1.5;1.5;1.5;1;0.5;1.5;2;2;3.5;1.5;0.5;0.5;2;1;1.5;0.5;0.5;0.5;1.5;7;0.3;1.5;5;0.5;5;1.5;1.5;1;1.5;4;8;5.5;2;4;1;2;5;1;3;0.3;3;2;1.5;2.5;6;0.5;0;;;;;;;;;;;;;
26.09.2019;0.3;2;0.5;5;1;1;1;0.8;1.5;1.5;1;1;1.5;0.5;1.5;1;0.5;0.8;1.5;3;2;0.5;1;5;1;0.5;0;1.5;1;0.5;15;0.5;1.5;1;1.5;1.5;0.5;1.5;1.5;1.5;1.5;0.5;1;2;1.5;3.5;1.5;0.5;0.5;2;1;1.5;0.5;0.5;0.5;1.5;7;0.3;1.5;5;0.5;1;0;1;1.5;1;1.5;4;8;5.5;1;2;4;5;1;3;0.5;3;5;2;1.5;2;1;1.5;0;0.7;6;0.5;0;;;;
