_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
144,Bozkır,IŞIKLAR,"SAMAN, HAZIR YEM"
145,Bozkır,KARABAYIR,"KÜSPE, SAMAN, HAZIR YEM"
146,Bozkır,KARACAARDIÇ,"FİĞ, ARPA"
147,Bozkır,KARACAHİSAR,"SAMAN, HAZIR YEM"
148,Bozkır,KARAYAHYA,HAZIR YEM
149,Bozkır,KAYACILAR,"SAMAN, HAZIR YEM"
150,Bozkır,KAYAPINAR,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
151,Bozkır,KINIK,HAZIR YEM
152,Bozkır,KIZILÇAKIR,"BUĞDAY, KÜSPE, ARPA, HAZIR YEM"
153,Bozkır,KİLDERE,HAZIR YEM
154,Bozkır,KOVANLIK,"KÜSPE, SAMAN, HAZIR YEM"
155,Bozkır,KOZAĞAÇ,"SAMAN, YONCA, HAZIR YEM"
156,Bozkır,KUŞÇA,"SAMAN, HAZIR YEM"
157,Bozkır,KÜÇÜKHİSARLIK,"KÜSPE, ARPA"
158,Bozkır,PINARCIK,"ARPA, HAZIR YEM"
159,Bozkır,SARIOĞLAN,"SAMAN, SİLAJLIK MISIR"
160,Bozkır,SAZLI,HAZIR YEM
161,Bozkır,SOĞUCAK,"SİLAJLIK MISIR, HAZIR YEM"
162,Bozkır,SORKUN,"ARPA, SAMAN"
163,Bozkır,SÖĞÜT,"KÜSPE, SAMAN, SİLAJLIK MISIR"
164,Bozkır,TARLABAŞI,"ARPA, SAMAN"
165,Bozkır,TAŞBAŞI,"KÜSPE, SAMAN, HAZIR YEM"
166,Bozkır,TEPEARASI,ARPA
167,Bozkır,TEPELİCE,"SAMAN, SİLAJLIK MISIR, HAZIR YEM"
168,Bozkır,ULUPINAR,HAZIR YEM
169,Bozkır,ÜÇPINAR,HAZIR YEM
170,Bozkır,YALNIZCA,HAZIR YEM
171,Bozkır,YAZDAMI,HAZIR YEM
172,Bozkır,YELBEYİ,HAZIR YEM
173,Bozkır,YENİKÖY,HAZIR YEM
174,Bozkır,YOLÖREN,"ARPA, SAMAN, HAZIR YEM"
175,Çeltik,GÖKPINAR,"BUĞDAY, HAZIR YEM"
176,Çeltik,ADAKASIM,"ARPA, SAMAN, HAZIR YEM"
177,Çeltik,DOĞANYURT,"ARPA, SAMAN, YONCA"
178,Çeltik,KAŞÖREN,"KÜSPE, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
179,Çeltik,KÜÇÜKHASAN,"BUĞDAY, ARPA, SİLAJLIK MISIR, HAZIR YEM"
180,Çeltik,TORUNLAR,"SİLAJLIK MISIR, HAZIR YEM"
