_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
631,Sarayönü,ÇEŞMELİSEBİL,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
632,Sarayönü,DEĞİRMENLİ,"FİĞ, KÜSPE, ARPA, SAMAN, YONCA"
633,Sarayönü,ERTUĞRUL,"BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
634,Sarayönü,GÖZLÜ,"YULAF, KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
635,Sarayönü,KADIOĞLU,"SAMAN, HAZIR YEM"
636,Sarayönü,KARABIYIK,HAZIR YEM
637,Sarayönü,KARATEPE,"YULAF, FİĞ, KÜSPE, KEPEK, ARPA, YONCA, SİLAJLIK MISIR"
638,Sarayönü,KAYIÖREN,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
639,Sarayönü,KONAR,"KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
640,Sarayönü,KURŞUNLU,"FİĞ, ARPA, SAMAN"
641,Sarayönü,KUYULUSEBİL,YOK
642,Sarayönü,ÖZKENT,"ARPA, SİLAJLIK MISIR, HAZIR YEM"
643,Sarayönü,YENİCEKAYA,"SAMAN, HAZIR YEM"
644,Selçuklu,BAŞARAKAVAK,"ARPA, YONCA, HAZIR YEM"
645,Selçuklu,hasan,""
646,Selçuklu,SARAYKÖY,"ARPA, SAMAN"
647,Selçuklu,SULUTAS,"ARPA, SAMAN, HAZIR YEM"
648,Selçuklu,TATKÖY,"YONCA, HAZIR YEM"
649,Selçuklu,AKPINAR,HAZIR YEM
650,Selçuklu,BAĞRIKURT,"ARPA, HAZIR YEM"
651,Selçuklu,BİÇER,"BUĞDAY, FİĞ, ARPA, HAZIR YEM"
652,Selçuklu,ÇALDERE,"ARPA, ÇAVDAR, YONCA, HAZIR YEM"
653,Selçuklu,ÇALTI,"ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
654,Selçuklu,ÇANDIR,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
655,Selçuklu,DAĞDERE,"SAMAN, YONCA, HAZIR YEM"
656,Selçuklu,EĞRİBAYAT,"FİĞ, ARPA, YONCA"
657,Selçuklu,GÜVENÇ,HAZIR YEM
658,Selçuklu,KALE,"ARPA, HAZIR YEM"
659,Selçuklu,KARAÖMERLER,"BUĞDAY, ARPA, SİLAJLIK MISIR"
660,Selçuklu,KERVAN,"ARPA, SAMAN, HAZIR YEM"
661,Selçuklu,KINIK,"ARPA, SAMAN, HAZIR YEM"
662,Selçuklu,KIZILCAKUYU,"ARPA, HAZIR YEM"
663,Selçuklu,MEYDAN,"BUĞDAY, ARPA, SAMAN"
664,Selçuklu,SELAHATTİN,"BUĞDAY, FİĞ, KÜSPE, ARPA, SAMAN"
665,Selçuklu,SIZMA,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
666,Selçuklu,TEPEKENT,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
667,Selçuklu,ULUMUHSİNE,"KÜSPE, ARPA, HAZIR YEM"
668,Selçuklu,YAZIBELEN,"BUĞDAY, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
669,Selçuklu,SİLLE,HAZIR YEM
670,Selçuklu,ARDIÇLI,"ARPA, HAZIR YEM"
671,Selçuklu,AŞAĞIPINARBAŞI,"KEPEK, ARPA, HAZIR YEM"
672,Selçuklu,YUKARIPINARBAŞI,"ARPA, SİLAJLIK MISIR, HAZIR YEM"
673,Selçuklu,KÜÇÜKMUHSİNE,"KÜSPE, KEPEK, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
674,Selçuklu,SARICALAR,"BUĞDAY, ARPA, SAMAN, YONCA, SİLAJLIK MISIR"
675,Selçuklu,TÖMEK,"KÜSPE, SAMAN, YONCA, HAZIR YEM"
676,Selçuklu,YÜKSELEN,"YULAF, KÜSPE, ARPA, SAMAN"
677,Selçuklu,Mehmet Fatih,""
678,Seydişehir,KESECİK,"BUĞDAY, YULAF, ARPA"
679,Seydişehir,AKÇALAR,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
680,Seydişehir,AŞAĞIKARAÖREN,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
681,Seydişehir,BAŞKARAÖREN,"SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
682,Seydişehir,BOSTANDERE,"FİĞ, KÜSPE, SİLAJLIK MISIR, HAZIR YEM"
683,Seydişehir,BOYALI,"ARPA, YONCA, SİLAJLIK MISIR"
684,Seydişehir,BÜKÇE,"YULAF, ARPA, SİLAJLIK MISIR, HAZIR YEM"
685,Seydişehir,ÇAT,"SAMAN, SİLAJLIK MISIR, HAZIR YEM"
686,Seydişehir,ÇATMAKAYA,"BUĞDAY, FİĞ, SAMAN, HAZIR YEM"
687,Seydişehir,ÇAVUŞ,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
688,Seydişehir,DİKİLİTAŞ,"YONCA, SİLAJLIK MISIR, HAZIR YEM"
689,Seydişehir,GEVREKLİ,"ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
690,Seydişehir,GÖKÇEHÜYÜK,"SAMAN, HAZIR YEM"
691,Seydişehir,GÖKHÜYÜK,"ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
692,Seydişehir,GÖLYÜZÜ,"FİĞ, KÜSPE, SAMAN"
693,Seydişehir,IRMAKLI,"ARPA, SİLAJLIK MISIR, HAZIR YEM"
694,Seydişehir,İNCESU,"KÜSPE, SAMAN, YONCA, HAZIR YEM"
695,Seydişehir,KARABULAK,"SİLAJLIK MISIR, HAZIR YEM"
696,Seydişehir,KARACAÖREN,"ARPA, HAZIR YEM"
697,Seydişehir,KAVAK,"BUĞDAY, ARPA, HAZIR YEM"
698,Seydişehir,KETENLİ,"FİĞ, ARPA, HAZIR YEM"
699,Seydişehir,KIZILCA,"BUĞDAY, ARPA, SİLAJLIK MISIR, HAZIR YEM"
700,Seydişehir,KOZLU,"FİĞ, HAZIR YEM"
701,Seydişehir,KUMLUCA,"FİĞ, SİLAJLIK MISIR, HAZIR YEM"
702,Seydişehir,KURAN,"KÜSPE, SİLAJLIK MISIR, HAZIR YEM"
703,Seydişehir,MADENLİ,"SAMAN, YONCA, HAZIR YEM"
704,Seydişehir,MESUDİYE,"BUĞDAY, HAZIR YEM"
705,Seydişehir,MURADİYE,"YONCA, SİLAJLIK MISIR"
706,Seydişehir,OĞLAKÇI,"KÜSPE, HAZIR YEM"
707,Seydişehir,ORTAKARAÖREN,"BUĞDAY, ARPA, HAZIR YEM"
708,Seydişehir,SARAYCIK,"BUĞDAY, SAMAN, HAZIR YEM"
709,Seydişehir,SUSUZ,"FİĞ, ARPA, HAZIR YEM"
710,Seydişehir,TARAŞÇI,"KÜSPE, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
711,Seydişehir,TAŞAĞIL,"BUĞDAY, YONCA, HAZIR YEM"
712,Seydişehir,TEPECİK,"KÜSPE, ÇAVDAR, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
713,Seydişehir,TOL,"YULAF, FİĞ, ARPA, ÇAVDAR"
714,Seydişehir,UFACIK,"FİĞ, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
715,Seydişehir,YAYLACIK,HAZIR YEM
716,Seydişehir,YENİCE,"FİĞ, SAMAN, HAZIR YEM"
717,Taşkent,AFŞAR,"ARPA, SAMAN, HAZIR YEM"
718,Taşkent,BALCILAR,"ARPA, SAMAN"
719,Taşkent,BOLAY,"KÜSPE, ARPA, SAMAN"
720,Taşkent,ÇETMİ,"SAMAN, HAZIR YEM"
721,Taşkent,KECİMEN,HAZIR YEM
722,Taşkent,KONGUL,"SAMAN, HAZIR YEM"
723,Taşkent,SAZAK,"SAMAN, HAZIR YEM"
724,Taşkent,ILICAPINAR,YOK
725,Tuzlukçu,KONARI,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
726,Tuzlukçu,MEVLÜTLÜ,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
727,Tuzlukçu,KORAŞI,"BUĞDAY, ARPA, HAZIR YEM"
728,Tuzlukçu,ÇÖĞÜRLÜ,"FİĞ, ARPA, SAMAN, HAZIR YEM"
729,Tuzlukçu,TURSUNLU,"YULAF, FİĞ, YONCA, SİLAJLIK MISIR, HAZIR YEM"
730,Tuzlukçu,KUNDULLU,"FİĞ, ARPA"
731,Tuzlukçu,PAZARKAYA,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
732,Tuzlukçu,SUBATAN,"KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR"
733,Tuzlukçu,GÜRSU,"ARPA, HAZIR YEM"
734,Tuzlukçu,ERDOĞDU,"ARPA, SAMAN, SİLAJLIK MISIR"
735,Tuzlukçu,KÖKLÜCE,"YULAF, ARPA, HAZIR YEM"
736,Yalıhüyük,SARAY,"BUĞDAY, ARPA, HAZIR YEM"
737,Yalıhüyük,ARASÖĞÜT,"FİĞ, ARPA, HAZIR YEM"
738,Yunak,KUZÖREN,"YULAF, ARPA, HAZIR YEM"
739,Yunak,KOÇYAZI,"ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
740,Yunak,TURGUT,"BUĞDAY, YULAF, ARPA"
741,Yunak,PİRİBEYLİ,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
742,Yunak,SÜLÜKLÜ,HAZIR YEM
743,Yunak,ALTINÖZ,"ARPA, SAMAN, YONCA, SİLAJLIK MISIR"
744,Yunak,AYRITEPE,"KÜSPE, ARPA, SAMAN, HAZIR YEM"
745,Yunak,BEŞIŞIKLI,"BUĞDAY, FİĞ, ARPA, YONCA"
746,Yunak,CEBRAİL,"KÜSPE, KEPEK, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
747,Yunak,ÇAYIRBAŞI,"BUĞDAY, ARPA, YONCA, SİLAJLIK MISIR"
748,Yunak,EĞRİKUYU,"ARPA, YONCA, SİLAJLIK MISIR"
749,Yunak,HACIÖMEROĞLU,"SAMAN, YONCA, HAZIR YEM"
750,Yunak,HATIRLI,"SAMAN, YONCA, HAZIR YEM"
751,Yunak,HACIFAKILI,"KÜSPE, ARPA, HAZIR YEM"
752,Yunak,HARUNLAR,"KÜSPE, ARPA, SAMAN, HAZIR YEM"
753,Yunak,HURSUNLU,"BUĞDAY, KÜSPE, ARPA, SAMAN, HAZIR YEM"
754,Yunak,İMAMOĞLU,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
755,Yunak,KARGALI,"BUĞDAY, KÜSPE, ARPA, SAMAN, HAZIR YEM"
756,Yunak,KARAYAYLA,"BUĞDAY, KÜSPE, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
757,Yunak,KILLAR,"FİĞ, ARPA, SAMAN, YONCA, SİLAJLIK MISIR"
758,Yunak,KURTUŞAĞI,"BUĞDAY, KÜSPE, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
759,Yunak,KUYUBAŞI,"KÜSPE, ARPA, SAMAN, HAZIR YEM"
760,Yunak,MEŞELİK,"SAMAN, SİLAJLIK MISIR, HAZIR YEM"
761,Yunak,ODABAŞI,"FİĞ, KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
762,Yunak,ORTAKIŞLA,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
763,Yunak,ÖZYAYLA,"ARPA, YONCA, HAZIR YEM"
764,Yunak,SERTLER,"ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
765,Yunak,SEVİNÇ,"ARPA, ÇAVDAR, SAMAN, YONCA, HAZIR YEM"
766,Yunak,SIRAM,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
767,Yunak,SİNANLI,"ARPA, SAMAN, HAZIR YEM"
768,Yunak,YAVAŞLI,"SAMAN, YONCA, HAZIR YEM"
769,Yunak,YEŞİLOBA,"YULAF, ARPA, SİLAJLIK MISIR, HAZIR YEM"
770,Yunak,YEŞİLYAYLA,"BUĞDAY, KÜSPE, ARPA, SAMAN, HAZIR YEM"
771,Yunak,YIĞAR,"BUĞDAY, FİĞ, SAMAN, YONCA, SİLAJLIK MISIR"
772,Yunak,SARAY,"FİĞ, SİLAJLIK MISIR"
773,"","",""
