_id,ilce_adi,mahalle_adi,tarimsal_sulama_suyu_kaynagi
446,Ilgın,GEÇİT,ŞAHSİ KUYULAR
447,Ilgın,GEDİKÖREN,ÇAY
448,Ilgın,GÖSTERE,YERALTI SULARI
449,Ilgın,GÖKÇEYURT,ŞAHSİ KUYULAR
450,Ilgın,GÖLYAKA,ŞAHSİ KUYULAR
451,Ilgın,GÖKBUDAK,AKARSU
452,Ilgın,GÜNEYPINAR,DERE
453,Ilgın,HARMANYAZI,YERALTI SULARI
454,Ilgın,İHSANİYE,GÖL
455,Ilgın,KAPAKLI,ŞAHSİ KUYULAR
456,Ilgın,KARAKÖY,GÖL
457,Ilgın,KALEKÖY,ŞAHSİ KUYULAR
458,Ilgın,MAHMUTHİSAR,GÖLET
459,Ilgın,MECİDİYE,GÖLET
460,Ilgın,MİSAFİRLİ,"ŞAHSİ KUYULAR, YERALTI SULARI"
461,Ilgın,OLUKPINAR,KOOPERATİF KUYULARI
462,Ilgın,ORHANİYE,YERALTI SULARI
463,Ilgın,ORMANÖZÜ,AKARSU
464,Ilgın,SADIKKÖY,GÖL
465,Ilgın,SEBİLLER,YERALTI SULARI
466,Ilgın,TEKELER,YOK
467,Ilgın,YUKARIÇİĞİL,GÖLET
468,Ilgın,YORAZLAR,ŞAHSİ KUYULAR
469,Ilgın,ZAFERİYE,"BARAJ, GÖL"
470,Ilgın,AVDAN,ŞAHSİ KUYULAR
471,Kadınhanı,OSMANCIK,GÖLET
472,Kadınhanı,AFŞARLI,ŞAHSİ KUYULAR
473,Kadınhanı,ALABAĞ,ŞAHSİ KUYULAR
474,Kadınhanı,ATLANTI,ŞAHSİ KUYULAR
475,Kadınhanı,BAKIRPINAR,ŞAHSİ KUYULAR
476,Kadınhanı,BAŞKUYU,YERALTI SULARI
477,Kadınhanı,BAYRAMLI,YERALTI SULARI
478,Kadınhanı,BEYKAVAĞI,GÖLET
479,Kadınhanı,BULGURPINAR,KANAL
480,Kadınhanı,ÇAVDAR,GÖL
481,Kadınhanı,ÇEŞMECİK,YOK
482,Kadınhanı,ÇUBUK,YOK
483,Kadınhanı,DEMİROLUK,GÖLET
484,Kadınhanı,HACIMEHMETLİ,ŞAHSİ KUYULAR
485,Kadınhanı,HACIOFLAZLAR,YERALTI SULARI
486,Kadınhanı,HACIPİRLİ,ŞAHSİ KUYULAR
487,Kadınhanı,KABACALI,YOK
488,Kadınhanı,KAMIŞLIÖZÜ,KOOPERATİF KUYULARI
489,Kadınhanı,KARAHİSARLI,ŞAHSİ KUYULAR
490,Kadınhanı,KARAKURTLU,YERALTI SULARI
491,Kadınhanı,KARASEVİNÇ,YOK
492,Kadınhanı,KARAYÜRÜKLÜ,ŞAHSİ KUYULAR
493,Kadınhanı,KIZILKUYU,ŞAHSİ KUYULAR
494,Kadınhanı,KOLUKISA,YERALTI SULARI
495,Kadınhanı,KONURÖREN,ŞAHSİ KUYULAR
496,Kadınhanı,KÖKEZ,ŞAHSİ KUYULAR
497,Kadınhanı,KÖYLÜTOLU,ŞAHSİ KUYULAR
498,Kadınhanı,KURTHASANLI,ŞAHSİ KUYULAR
499,Kadınhanı,KÜÇÜKKUYU,YERALTI SULARI
500,Kadınhanı,MAHMUDİYE,GÖL
501,Kadınhanı,MEYDANLI,YERALTI SULARI
502,Kadınhanı,ÖRNEK,ŞAHSİ KUYULAR
503,Kadınhanı,PİRALİ,YOK
504,Kadınhanı,PUSAT,GÖL
505,Kadınhanı,SAÇIKARA,YERALTI SULARI
506,Kadınhanı,SARIKAYA,YOK
507,Kadınhanı,SÖĞÜTÖZÜ,ŞAHSİ KUYULAR
508,Kadınhanı,ŞAHÖREN,GÖLET
509,Kadınhanı,TOSUNOĞLU,ŞAHSİ KUYULAR
510,Kadınhanı,YAĞLICA,YOK
511,Kadınhanı,YAYLAYAKA,ŞAHSİ KUYULAR
512,Karapınar,HOTAMIŞ,YERALTI SULARI
513,Karapınar,KESMEZ,YERALTI SULARI
514,Karapınar,AKÇAYAZI,YERALTI SULARI
515,Karapınar,AKÖREN,YERALTI SULARI
516,Karapınar,ÇİĞİL,YERALTI SULARI
517,Karapınar,HASANOBA,YERALTI SULARI
518,Karapınar,İSLİK,YERALTI SULARI
519,Karapınar,KARAKIŞLA,YERALTI SULARI
520,Karapınar,KAYACIK,YERALTI SULARI
521,Karapınar,KAYALI,ŞAHSİ KUYULAR
522,Karapınar,KAZANHÜYÜĞÜ,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
523,Karapınar,KÜÇÜKAŞLAMA,"ŞAHSİ KUYULAR, YERALTI SULARI"
524,Karapınar,ORTAOBA,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
525,Karapınar,OYMALI,KOOPERATİF KUYULARI
526,Karapınar,SAZLIPINAR,ŞAHSİ KUYULAR
527,Karapınar,YAĞMAPINAR,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
528,Karapınar,YENİKUYU,KOOPERATİF KUYULARI
529,Karapınar,YEŞİLYURT,ŞAHSİ KUYULAR
530,Karatay,YARMA,BARAJ
531,Karatay,ACIDORT,"KANAL, YERALTI SULARI"
532,Karatay,AĞSAKLI,ŞAHSİ KUYULAR
533,Karatay,AKBAŞ,ŞAHSİ KUYULAR
534,Karatay,AKÖRENKIŞLA,YERALTI SULARI
535,Karatay,BAKIRTOLU,"BARAJ, GÖLET, YERALTI SULARI"
536,Karatay,BAŞGÖTÜREN,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
537,Karatay,BEŞAĞIL,YERALTI SULARI
538,Karatay,BÜYÜKBURNAK,ŞAHSİ KUYULAR
539,Karatay,ÇENGİLTİ,"ŞAHSİ KUYULAR, KANAL"
540,Karatay,DİVANLAR,YOK
541,Karatay,ESENTEPE,ŞAHSİ KUYULAR
542,Karatay,GÖÇÜ,BARAJ
543,Karatay,HAYIROĞLU MERKEZ,ŞAHSİ KUYULAR
544,Karatay,İPEKLER,YERALTI SULARI
545,Karatay,İSMİL,BARAJ
546,Karatay,KARADONA,"ŞAHSİ KUYULAR, YERALTI SULARI"
547,Karatay,KARAKAYA,YOK
548,Karatay,KATRANCI,ŞAHSİ KUYULAR
549,Karatay,KIZÖREN,KOOPERATİF KUYULARI
550,Karatay,KÖSEALİ,ŞAHSİ KUYULAR
551,Karatay,OBRUK,YERALTI SULARI
552,Karatay,OVAKAVAĞI,ŞAHSİ KUYULAR
553,Karatay,SAKYATAN,KANAL
554,Karatay,SÜRÜÇ,YERALTI SULARI
555,Karatay,ŞATIR,KOOPERATİF KUYULARI
556,Karatay,YAĞLIBAYAT,ŞAHSİ KUYULAR
557,Karatay,YAVŞANKUYU,ŞAHSİ KUYULAR
558,Karatay,YENİCE,YERALTI SULARI
559,Karatay,YENİKENT,ŞAHSİ KUYULAR
560,Karatay,ZİNCİRLİ,ŞAHSİ KUYULAR
561,Kulu,ACIKUYU,ŞAHSİ KUYULAR
562,Kulu,AĞILBAŞI,ŞAHSİ KUYULAR
563,Kulu,ALTILAR,AKARSU
564,Kulu,ARŞINCA,ŞAHSİ KUYULAR
565,Kulu,BEŞKARDEŞ,YOK
566,Kulu,BOĞAZÖREN,YOK
567,Kulu,BOZAN,ŞAHSİ KUYULAR
568,Kulu,BURUNAĞIL,ŞAHSİ KUYULAR
569,Kulu,CANIMANA,YERALTI SULARI
570,Kulu,CELEP,ŞAHSİ KUYULAR
571,Kulu,DİPDEDE,YOK
572,Kulu,DOĞUTEPE,ŞAHSİ KUYULAR
573,Kulu,FEVZİYE,ŞAHSİ KUYULAR
574,Kulu,GÖKLER,YOK
575,Kulu,GÜZELYAYLA,ŞAHSİ KUYULAR
576,Kulu,HİSAR,YOK
577,Kulu,KARACADAĞ,DERE
578,Kulu,KARACADERE,YOK
579,Kulu,KIRKKUYU,YOK
580,Kulu,KIRKPINAR,YOK
581,Kulu,KOZANLI,"YERALTI SULARI, KOOPERATİF KUYULARI"
582,Kulu,KÖMÜŞİNİ,YOK
583,Kulu,KÖŞKER,YOK
584,Kulu,SARIYAYLA,KOOPERATİF KUYULARI
585,Kulu,SEYİTAHMETLİ,"DERE, YERALTI SULARI"
586,Kulu,SOĞUKKUYU,ŞAHSİ KUYULAR
587,Kulu,ŞEREFLİ,ŞAHSİ KUYULAR
588,Kulu,TAVLIÖREN,ŞAHSİ KUYULAR
589,Kulu,ÖMERANLI,ŞAHSİ KUYULAR
590,Kulu,TUZYAKA,ŞAHSİ KUYULAR
591,Kulu,YARAŞLI,YOK
592,Kulu,YAZIÇAYIR,YOK
593,Kulu,YEŞİLTEPE,ŞAHSİ KUYULAR
594,Kulu,YEŞİLYURT,ŞAHSİ KUYULAR
595,Kulu,ZİNCİRLİKUYU,YERALTI SULARI
596,Kulu,BAHADIRLI,ŞAHSİ KUYULAR
597,Kulu,DEĞİRMENÖZÜ,ŞAHSİ KUYULAR
598,Meram,ERENKAYA,YOK
599,Meram,YATAĞAN,ŞAHSİ KUYULAR
600,Meram,GÖKYURT,"ŞAHSİ KUYULAR, AKARSU"
601,Meram,BAYAT,ŞAHSİ KUYULAR
602,Meram,BORUKTOLU,YERALTI SULARI
603,Meram,BOTSA,GÖLET
604,Meram,ÇAYIRBAĞI,KOOPERATİF KUYULARI
605,Meram,ÇOMAKLAR,"DERE, YERALTI SULARI"
606,Meram,ÇUKURÇİMEN,KOOPERATİF KUYULARI
607,Meram,EVLİYATEKKE,GÖLET
608,Meram,HATUNSARAY,"ŞAHSİ KUYULAR, GÖLET"
609,Meram,İKİPINAR,"DERE, YERALTI SULARI"
610,Meram,İLYASBABA,DERE
611,Meram,İNLİCE,GÖLET
612,Meram,KARAAĞAÇ,YOK
613,Meram,KAVAK,YERALTI SULARI
614,Meram,KAYADİBİ,ŞAHSİ KUYULAR
615,Meram,KAYALI,ÇAY
616,Meram,KAYHÜYÜK,YERALTI SULARI
617,Meram,KIZILÖREN,KOOPERATİF KUYULARI
618,Meram,KUMRALI,YERALTI SULARI
619,Meram,SADIKLAR,"ŞAHSİ KUYULAR, AKARSU"
620,Meram,SAĞLIK,YERALTI SULARI
621,Meram,SARIKIZ,YOK
622,Meram,SEFAKÖY,BARAJ
623,Meram,YEŞİLDERE,YERALTI SULARI
624,Meram,YEŞİLTEKKE,YERALTI SULARI
625,Meram,KAŞINHANI,ŞAHSİ KUYULAR
626,Sarayönü,LADİK,GÖLET
627,Sarayönü,BAHÇESARAY,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
628,Sarayönü,BAŞHÜYÜK,ŞAHSİ KUYULAR
629,Sarayönü,BOYALI,ŞAHSİ KUYULAR
630,Sarayönü,BÜYÜKZENGİ,ÇAY
631,Sarayönü,ÇEŞMELİSEBİL,YERALTI SULARI
632,Sarayönü,DEĞİRMENLİ,"ŞAHSİ KUYULAR, YERALTI SULARI"
633,Sarayönü,ERTUĞRUL,GÖLET
634,Sarayönü,GÖZLÜ,"ŞAHSİ KUYULAR, YERALTI SULARI"
635,Sarayönü,KADIOĞLU,ŞAHSİ KUYULAR
636,Sarayönü,KARABIYIK,YOK
637,Sarayönü,KARATEPE,ŞAHSİ KUYULAR
638,Sarayönü,KAYIÖREN,ŞAHSİ KUYULAR
639,Sarayönü,KONAR,ŞAHSİ KUYULAR
640,Sarayönü,KURŞUNLU,YOK
641,Sarayönü,KUYULUSEBİL,ŞAHSİ KUYULAR
642,Sarayönü,ÖZKENT,YERALTI SULARI
643,Sarayönü,YENİCEKAYA,ŞAHSİ KUYULAR
644,Selçuklu,BAŞARAKAVAK,AKARSU
645,Selçuklu,hasan,""
646,Selçuklu,SARAYKÖY,YOK
647,Selçuklu,SULUTAS,YOK
648,Selçuklu,TATKÖY,YOK
649,Selçuklu,AKPINAR,ŞAHSİ KUYULAR
650,Selçuklu,BAĞRIKURT,YOK
651,Selçuklu,BİÇER,ŞAHSİ KUYULAR
652,Selçuklu,ÇALDERE,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
653,Selçuklu,ÇALTI,ŞAHSİ KUYULAR
654,Selçuklu,ÇANDIR,YOK
655,Selçuklu,DAĞDERE,ŞAHSİ KUYULAR
656,Selçuklu,EĞRİBAYAT,ŞAHSİ KUYULAR
657,Selçuklu,GÜVENÇ,ŞAHSİ KUYULAR
658,Selçuklu,KALE,"ŞAHSİ KUYULAR, YERALTI SULARI"
659,Selçuklu,KARAÖMERLER,ŞAHSİ KUYULAR
660,Selçuklu,KERVAN,YOK
661,Selçuklu,KINIK,ŞAHSİ KUYULAR
662,Selçuklu,KIZILCAKUYU,YOK
663,Selçuklu,MEYDAN,YOK
664,Selçuklu,SELAHATTİN,AKARSU
665,Selçuklu,SIZMA,ŞAHSİ KUYULAR
666,Selçuklu,TEPEKENT,AKARSU
667,Selçuklu,ULUMUHSİNE,"ÇAY, GÖL"
668,Selçuklu,YAZIBELEN,ŞAHSİ KUYULAR
669,Selçuklu,SİLLE,BARAJ
670,Selçuklu,ARDIÇLI,GÖLET
671,Selçuklu,AŞAĞIPINARBAŞI,YERALTI SULARI
672,Selçuklu,YUKARIPINARBAŞI,YERALTI SULARI
673,Selçuklu,KÜÇÜKMUHSİNE,BARAJ
674,Selçuklu,SARICALAR,YERALTI SULARI
675,Selçuklu,TÖMEK,ŞAHSİ KUYULAR
676,Selçuklu,YÜKSELEN,KOOPERATİF KUYULARI
677,Selçuklu,Mehmet Fatih,""
678,Seydişehir,KESECİK,"GÖL, YERALTI SULARI"
679,Seydişehir,AKÇALAR,ŞAHSİ KUYULAR
680,Seydişehir,AŞAĞIKARAÖREN,GÖL
681,Seydişehir,BAŞKARAÖREN,GÖL
682,Seydişehir,BOSTANDERE,GÖLET
683,Seydişehir,BOYALI,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
684,Seydişehir,BÜKÇE,"DERE, YERALTI SULARI"
685,Seydişehir,ÇAT,DERE
686,Seydişehir,ÇATMAKAYA,ŞAHSİ KUYULAR
687,Seydişehir,ÇAVUŞ,"ŞAHSİ KUYULAR, YERALTI SULARI"
688,Seydişehir,DİKİLİTAŞ,GÖLET
689,Seydişehir,GEVREKLİ,GÖL
690,Seydişehir,GÖKÇEHÜYÜK,GÖLET
691,Seydişehir,GÖKHÜYÜK,KANAL
692,Seydişehir,GÖLYÜZÜ,GÖL
693,Seydişehir,IRMAKLI,ÇAY
694,Seydişehir,İNCESU,GÖL
695,Seydişehir,KARABULAK,GÖL
696,Seydişehir,KARACAÖREN,DERE
697,Seydişehir,KAVAK,ŞAHSİ KUYULAR
698,Seydişehir,KETENLİ,ŞAHSİ KUYULAR
699,Seydişehir,KIZILCA,"GÖLET, YERALTI SULARI"
700,Seydişehir,KOZLU,GÖLET
701,Seydişehir,KUMLUCA,KANAL
702,Seydişehir,KURAN,GÖL
703,Seydişehir,MADENLİ,YOK
704,Seydişehir,MESUDİYE,GÖLET
705,Seydişehir,MURADİYE,GÖL
706,Seydişehir,OĞLAKÇI,KOOPERATİF KUYULARI
707,Seydişehir,ORTAKARAÖREN,GÖL
708,Seydişehir,SARAYCIK,ŞAHSİ KUYULAR
709,Seydişehir,SUSUZ,GÖL
710,Seydişehir,TARAŞÇI,GÖLET
711,Seydişehir,TAŞAĞIL,GÖL
712,Seydişehir,TEPECİK,YOK
713,Seydişehir,TOL,"YERALTI SULARI, KOOPERATİF KUYULARI"
714,Seydişehir,UFACIK,YOK
715,Seydişehir,YAYLACIK,"GÖLET, YERALTI SULARI"
716,Seydişehir,YENİCE,YERALTI SULARI
717,Taşkent,AFŞAR,ŞAHSİ KUYULAR
718,Taşkent,BALCILAR,YERALTI SULARI
719,Taşkent,BOLAY,YERALTI SULARI
720,Taşkent,ÇETMİ,"ÇAY, DERE"
721,Taşkent,KECİMEN,YERALTI SULARI
722,Taşkent,KONGUL,YERALTI SULARI
723,Taşkent,SAZAK,DERE
724,Taşkent,ILICAPINAR,AKARSU
725,Tuzlukçu,KONARI,YOK
726,Tuzlukçu,MEVLÜTLÜ,YOK
727,Tuzlukçu,KORAŞI,YOK
728,Tuzlukçu,ÇÖĞÜRLÜ,ŞAHSİ KUYULAR
729,Tuzlukçu,TURSUNLU,ŞAHSİ KUYULAR
730,Tuzlukçu,KUNDULLU,ÇAY
731,Tuzlukçu,PAZARKAYA,YOK
732,Tuzlukçu,SUBATAN,ŞAHSİ KUYULAR
733,Tuzlukçu,GÜRSU,ŞAHSİ KUYULAR
734,Tuzlukçu,ERDOĞDU,ŞAHSİ KUYULAR
735,Tuzlukçu,KÖKLÜCE,"DERE, YERALTI SULARI"
736,Yalıhüyük,SARAY,YOK
737,Yalıhüyük,ARASÖĞÜT,YOK
738,Yunak,KUZÖREN,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
739,Yunak,KOÇYAZI,ŞAHSİ KUYULAR
740,Yunak,TURGUT,ŞAHSİ KUYULAR
741,Yunak,PİRİBEYLİ,YOK
742,Yunak,SÜLÜKLÜ,ŞAHSİ KUYULAR
743,Yunak,ALTINÖZ,ŞAHSİ KUYULAR
744,Yunak,AYRITEPE,YOK
745,Yunak,BEŞIŞIKLI,ŞAHSİ KUYULAR
746,Yunak,CEBRAİL,YOK
747,Yunak,ÇAYIRBAŞI,"ŞAHSİ KUYULAR, YERALTI SULARI"
748,Yunak,EĞRİKUYU,ŞAHSİ KUYULAR
749,Yunak,HACIÖMEROĞLU,DERE
750,Yunak,HATIRLI,ŞAHSİ KUYULAR
751,Yunak,HACIFAKILI,ŞAHSİ KUYULAR
752,Yunak,HARUNLAR,YOK
753,Yunak,HURSUNLU,YERALTI SULARI
754,Yunak,İMAMOĞLU,YERALTI SULARI
755,Yunak,KARGALI,YOK
756,Yunak,KARAYAYLA,YERALTI SULARI
757,Yunak,KILLAR,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
758,Yunak,KURTUŞAĞI,YOK
759,Yunak,KUYUBAŞI,YERALTI SULARI
760,Yunak,MEŞELİK,YOK
761,Yunak,ODABAŞI,"ŞAHSİ KUYULAR, GÖLET"
762,Yunak,ORTAKIŞLA,"ŞAHSİ KUYULAR, DERE"
763,Yunak,ÖZYAYLA,DERE
764,Yunak,SERTLER,ŞAHSİ KUYULAR
765,Yunak,SEVİNÇ,YOK
766,Yunak,SIRAM,YOK
767,Yunak,SİNANLI,ŞAHSİ KUYULAR
768,Yunak,YAVAŞLI,ŞAHSİ KUYULAR
769,Yunak,YEŞİLOBA,ŞAHSİ KUYULAR
770,Yunak,YEŞİLYAYLA,YERALTI SULARI
771,Yunak,YIĞAR,"ŞAHSİ KUYULAR, YERALTI SULARI"
772,Yunak,SARAY,"ŞAHSİ KUYULAR, YERALTI SULARI"
773,"","",""
