_id,ilce_adi,mahalle_adi,tarimsal_sulama_suyu_kaynagi
162,Bozkır,SORKUN,"ŞAHSİ KUYULAR, YERALTI SULARI"
163,Bozkır,SÖĞÜT,"ŞAHSİ KUYULAR, DERE"
164,Bozkır,TARLABAŞI,"ŞAHSİ KUYULAR, YERALTI SULARI"
165,Bozkır,TAŞBAŞI,YOK
166,Bozkır,TEPEARASI,ŞAHSİ KUYULAR
167,Bozkır,TEPELİCE,ŞAHSİ KUYULAR
168,Bozkır,ULUPINAR,"ŞAHSİ KUYULAR, YERALTI SULARI"
169,Bozkır,ÜÇPINAR,"ŞAHSİ KUYULAR, DERE"
170,Bozkır,YALNIZCA,"ŞAHSİ KUYULAR, YERALTI SULARI"
171,Bozkır,YAZDAMI,ŞAHSİ KUYULAR
172,Bozkır,YELBEYİ,"ŞAHSİ KUYULAR, YERALTI SULARI"
173,Bozkır,YENİKÖY,ŞAHSİ KUYULAR
174,Bozkır,YOLÖREN,"ÇAY, ŞAHSİ KUYULAR"
175,Çeltik,GÖKPINAR,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
176,Çeltik,ADAKASIM,YERALTI SULARI
177,Çeltik,DOĞANYURT,"ŞAHSİ KUYULAR, YERALTI SULARI"
178,Çeltik,KAŞÖREN,ŞAHSİ KUYULAR
179,Çeltik,KÜÇÜKHASAN,"ŞAHSİ KUYULAR, YERALTI SULARI"
180,Çeltik,TORUNLAR,"AKARSU, YERALTI SULARI"
181,Çeltik,İSHAKUŞAĞI,YERALTI SULARI
182,Çeltik,HONAMLI,ŞAHSİ KUYULAR
183,Cihanbeyli,BÖĞRÜDELİK,KOOPERATİF KUYULARI
184,Cihanbeyli,YAPALI,ŞAHSİ KUYULAR
185,Cihanbeyli,YENİCEOBA,ŞAHSİ KUYULAR
186,Cihanbeyli,CUMHURİYET,YOK
187,Cihanbeyli,GEMECİK,ŞAHSİ KUYULAR
188,Cihanbeyli,GÖKTEPE,ŞAHSİ KUYULAR
189,Cihanbeyli,AĞABEYLİ,ŞAHSİ KUYULAR
190,Cihanbeyli,HODOĞLU,YOK
191,Cihanbeyli,KAYI,"ŞAHSİ KUYULAR, YERALTI SULARI"
