,tarih,değer (ton)
449,2014-03-17,7350.0
450,2014-03-18,13370.0
451,2014-03-19,13320.0
452,2014-03-20,10475.0
453,2014-03-21,9360.0
454,2014-03-22,8750.0
455,2014-03-23,8405.0
456,2014-03-24,10345.0
457,2014-03-25,5125.0
458,2014-03-26,10660.0
459,2014-03-27,8765.0
460,2014-03-28,12510.0
461,2014-03-29,10675.0
462,2014-03-30,710.0
463,2014-03-31,10690.0
464,2014-01-04,7650.0
465,2014-02-04,5690.0
466,2014-03-04,8775.0
467,2014-04-04,7380.0
468,2014-05-04,4000.0
469,2014-06-04,1590.0
470,2014-07-04,6745.0
471,2014-08-04,7585.0
472,2014-09-04,12505.0
473,2014-10-04,6840.0
474,2014-11-04,2965.0
475,2014-12-04,4630.0
476,2014-04-13,300.0
477,2014-04-14,6430.0
478,2014-04-15,9815.0
479,2014-04-16,10360.0
480,2014-04-17,8225.0
481,2014-04-18,4560.0
482,2014-04-19,5220.0
483,2014-04-20,1400.0
484,2014-04-21,14390.0
485,2014-04-22,11030.0
486,2014-04-23,3875.0
487,2014-04-24,10905.0
488,2014-04-25,8320.0
489,2014-04-26,4775.0
490,2014-04-27,580.0
491,2014-04-28,8815.0
492,2014-04-29,8010.0
493,2014-04-30,8075.0
494,2014-01-05,5440.0
495,2014-02-05,10295.0
496,2014-03-05,3950.0
497,2014-04-05,9130.0
498,2014-05-05,6070.0
499,2014-06-05,8110.0
500,2014-07-05,6595.0
501,2014-08-05,15000.0
502,2014-09-05,12830.0
503,2014-10-05,15050.0
504,2014-11-05,1830.0
505,2014-12-05,13755.0
506,2014-05-13,19280.0
507,2014-05-14,10755.0
508,2014-05-15,10175.0
509,2014-05-16,11835.0
510,2014-05-17,11120.0
511,2014-05-18,1460.0
512,2014-05-19,4335.0
513,2014-05-20,18175.0
514,2014-05-21,12690.0
515,2014-05-22,11390.0
516,2014-05-23,7020.0
517,2014-05-24,7955.0
518,2014-05-25,760.0
519,2014-05-26,6825.0
520,2014-05-27,6980.0
521,2014-05-28,7615.0
522,2014-05-29,12280.0
523,2014-05-30,5755.0
524,2014-05-31,8925.0
525,2014-01-06,3380.0
526,2014-02-06,16270.0
527,2014-03-06,9670.0
528,2014-04-06,8395.0
529,2014-05-06,11000.0
530,2014-06-06,19305.0
531,2014-07-06,9710.0
532,2014-08-06,2450.0
533,2014-09-06,21260.0
534,2014-10-06,8835.0
535,2014-11-06,9395.0
536,2014-12-06,5255.0
537,2014-06-13,13350.0
538,2014-06-14,5345.0
539,2014-06-15,1390.0
540,2014-06-16,5480.0
541,2014-06-17,9930.0
542,2014-06-18,8870.0
543,2014-06-19,8425.0
544,2014-06-20,4270.0
545,2014-06-21,4510.0
546,2014-06-22,5825.0
547,2014-06-23,8855.0
548,2014-06-24,9440.0
549,2014-06-25,10375.0
550,2014-06-26,11300.0
551,2014-06-27,7985.0
