,tarih,değer (ton)
519,2014-05-26,"52665,0"
520,2014-05-27,"58090,0"
521,2014-05-28,"59775,0"
522,2014-05-29,"53315,0"
523,2014-05-30,"56150,0"
524,2014-05-31,"52165,0"
525,2014-01-06,"55295,0"
526,2014-02-06,"55215,0"
527,2014-03-06,"57060,0"
528,2014-04-06,"55725,0"
529,2014-05-06,"52780,0"
530,2014-06-06,"53570,0"
531,2014-07-06,"51570,0"
532,2014-08-06,"57175,0"
533,2014-09-06,"53940,0"
534,2014-10-06,"57575,0"
535,2014-11-06,"57750,0"
536,2014-12-06,"53050,0"
537,2014-06-13,"54860,0"
538,2014-06-14,"51870,0"
539,2014-06-15,"53335,0"
540,2014-06-16,"54580,0"
541,2014-06-17,"57320,0"
542,2014-06-18,"56740,0"
543,2014-06-19,"52915,0"
544,2014-06-20,"54215,0"
545,2014-06-21,"51720,0"
546,2014-06-22,"54530,0"
547,2014-06-23,"62940,0"
548,2014-06-24,"57845,0"
549,2014-06-25,"59390,0"
550,2014-06-26,"55850,0"
551,2014-06-27,"57450,0"
552,2014-06-28,"56440,0"
553,2014-06-29,"56300,0"
554,2014-06-30,"53100,0"
555,2014-01-07,"52905,0"
556,2014-02-07,"55900,0"
557,2014-03-07,"53930,0"
558,2014-04-07,"53535,0"
559,2014-05-07,"57175,0"
560,2014-06-07,"55670,0"
561,2014-07-07,"53465,0"
562,2014-08-07,"54660,0"
563,2014-09-07,"55275,0"
564,2014-10-07,"48800,0"
565,2014-11-07,"53405,0"
566,2014-12-07,"44150,0"
567,2014-07-13,"51015,0"
568,2014-07-14,"54940,0"
569,2014-07-15,"63040,0"
570,2014-07-16,"50305,0"
571,2014-07-17,"56730,0"
572,2014-07-18,"51995,0"
573,2014-07-19,"57985,0"
574,2014-07-20,"53510,0"
575,2014-07-21,"58020,0"
576,2014-07-22,"54865,0"
577,2014-07-23,"59895,0"
578,2014-07-24,"51970,0"
579,2014-07-25,"58820,0"
580,2014-07-26,"62095,0"
581,2014-07-27,"77005,0"
582,2014-07-28,"47000,0"
583,2014-07-29,"42570,0"
584,2014-07-30,"29680,0"
585,2014-07-31,"35785,0"
586,2014-01-08,"42175,0"
587,2014-02-08,"47670,0"
588,2014-03-08,"48370,0"
589,2014-04-08,"51205,0"
590,2014-05-08,"58265,0"
591,2014-06-08,"62185,0"
592,2014-07-08,"57640,0"
593,2014-08-08,"55460,0"
594,2014-09-08,"54580,0"
595,2014-10-08,"53015,0"
596,2014-11-08,"54260,0"
597,2014-12-08,"57345,0"
598,2014-08-13,"61660,0"
599,2014-08-14,"57495,0"
600,2014-08-15,"55960,0"
601,2014-08-16,"52825,0"
602,2014-08-17,"49180,0"
603,2014-08-18,"66395,0"
604,2014-08-19,"55660,0"
605,2014-08-20,"56965,0"
606,2014-08-21,"66350,0"
607,2014-08-22,"56785,0"
608,2014-08-23,"64635,0"
609,2014-08-24,"56575,0"
610,2014-08-25,"59110,0"
611,2014-08-26,"65050,0"
612,2014-08-27,"61335,0"
613,2014-08-28,"61525,0"
614,2014-08-29,"58530,0"
615,2014-08-30,"60650,0"
616,2014-08-31,"47240,0"
617,2014-01-09,"59150,0"
618,2014-02-09,"58195,0"
619,2014-03-09,"66550,0"
620,2014-04-09,"66025,0"
621,2014-05-09,"57855,0"
622,2014-06-09,"57775,0"
623,2014-07-09,"59600,0"
624,2014-08-09,"57480,0"
625,2014-09-09,"68155,0"
626,2014-10-09,"64610,0"
627,2014-11-09,"63630,0"
628,2014-12-09,"60430,0"
629,2014-09-13,"60845,0"
630,2014-09-14,"60935,0"
631,2014-09-15,"59400,0"
632,2014-09-16,"81140,0"
633,2014-09-17,"62210,0"
634,2014-09-18,"63925,0"
635,2014-09-19,"70535,0"
636,2014-09-20,"57005,0"
637,2014-09-21,"59460,0"
638,2014-09-22,"75885,0"
639,2014-09-23,"74135,0"
640,2014-09-24,"61940,0"
641,2014-09-25,"70575,0"
642,2014-09-26,"62150,0"
643,2014-09-27,"63690,0"
644,2014-09-28,"63125,0"
645,2014-09-29,"71975,0"
646,2014-09-30,"70715,0"
647,2014-01-10,"68825,0"
648,2014-02-10,"74180,0"
649,2014-03-10,"80990,0"
650,2014-04-10,"55270,0"
651,2014-05-10,"73720,0"
652,2014-06-10,"49390,0"
653,2014-07-10,"43545,0"
654,2014-08-10,"54180,0"
655,2014-09-10,"58190,0"
656,2014-10-10,"55605,0"
657,2014-11-10,"53845,0"
658,2014-12-10,"52670,0"
659,2014-10-13,"59060,0"
660,2014-10-14,"57050,0"
661,2014-10-15,"59710,0"
662,2014-10-16,"64240,0"
663,2014-10-17,"53405,0"
664,2014-10-18,"50035,0"
665,2014-10-19,"57820,0"
666,2014-10-20,"57555,0"
667,2014-10-21,"61040,0"
668,2014-10-22,"55760,0"
669,2014-10-23,"61280,0"
670,2014-10-24,"49885,0"
671,2014-10-25,"56605,0"
672,2014-10-26,"47280,0"
673,2014-10-27,"63385,0"
674,2014-10-28,"66110,0"
675,2014-10-29,"53785,0"
676,2014-10-30,"62760,0"
677,2014-10-31,"51645,0"
678,2014-01-11,"53320,0"
679,2014-02-11,"55570,0"
680,2014-03-11,"61245,0"
681,2014-04-11,"59925,0"
682,2014-05-11,"52315,0"
683,2014-06-11,"59965,0"
684,2014-07-11,"59475,0"
685,2014-08-11,"57675,0"
686,2014-09-11,"59360,0"
687,2014-10-11,"66095,0"
688,2014-11-11,"65715,0"
689,2014-12-11,"65190,0"
690,2014-11-13,"57070,0"
691,2014-11-14,"48465,0"
692,2014-11-15,"53690,0"
693,2014-11-16,"54105,0"
694,2014-11-17,"59835,0"
695,2014-11-18,"61905,0"
696,2014-11-19,"59530,0"
697,2014-11-20,"56090,0"
698,2014-11-21,"55925,0"
699,2014-11-22,"57960,0"
700,2014-11-23,"60235,0"
701,2014-11-24,"59795,0"
702,2014-11-25,"62515,0"
703,2014-11-26,"59010,0"
704,2014-11-27,"67200,0"
705,2014-11-28,"54165,0"
706,2014-11-29,"58895,0"
707,2014-11-30,"58420,0"
708,2014-01-12,"58735,0"
709,2014-02-12,"63365,0"
710,2014-03-12,"64250,0"
711,2014-04-12,"56615,0"
712,2014-05-12,"56315,0"
713,2014-06-12,"55110,0"
714,2014-07-12,"53665,0"
715,2014-08-12,"60400,0"
716,2014-09-12,"50430,0"
717,2014-10-12,"55600,0"
718,2014-11-12,"60630,0"
719,2014-12-12,"50730,0"
720,2014-12-13,"49660,0"
721,2014-12-14,"53740,0"
722,2014-12-15,"56415,0"
723,2014-12-16,"63385,0"
724,2014-12-17,"62085,0"
725,2014-12-18,"52010,0"
726,2014-12-19,"47450,0"
727,2014-12-20,"54495,0"
728,2014-12-21,"52765,0"
729,2014-12-22,"47680,0"
730,2014-12-23,"60570,0"
731,2014-12-24,"49380,0"
732,2014-12-25,"51295,0"
733,2014-12-26,"49195,0"
734,2014-12-27,"50860,0"
735,2014-12-28,"52865,0"
736,2014-12-29,"56870,0"
737,2014-12-30,"53425,0"
738,2014-12-31,"52085,0"
739,2015-01-01,"50140,0"
740,2015-02-01,"52390,0"
741,2015-03-01,"37025,0"
742,2015-04-01,"55035,0"
743,2015-05-01,"43205,0"
744,2015-06-01,"45120,0"
745,2015-07-01,"25980,0"
746,2015-08-01,"19280,0"
747,2015-09-01,"45035,0"
748,2015-10-01,"53080,0"
749,2015-11-01,"56170,0"
750,2015-12-01,"64575,0"
751,2015-01-13,"60730,0"
752,2015-01-14,"51175,0"
753,2015-01-15,"51410,0"
754,2015-01-16,"60105,0"
755,2015-01-17,"58660,0"
756,2015-01-18,"48920,0"
757,2015-01-19,"51065,0"
758,2015-01-20,"52000,0"
759,2015-01-21,"51640,0"
760,2015-01-22,"57505,0"
761,2015-01-23,"49530,0"
762,2015-01-24,"54475,0"
763,2015-01-25,"56535,0"
764,2015-01-26,"49610,0"
765,2015-01-27,"58255,0"
