,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
403,2020-01-18,05:00:00,4,4
404,2020-01-18,06:00:00,69,68
405,2020-01-18,07:00:00,1149,1137
406,2020-01-18,08:00:00,2042,2022
407,2020-01-18,09:00:00,1320,1306
408,2020-01-18,10:00:00,1715,1699
409,2020-01-18,11:00:00,2308,2279
410,2020-01-18,12:00:00,2975,2943
411,2020-01-18,13:00:00,2917,2882
412,2020-01-18,14:00:00,2672,2645
413,2020-01-18,15:00:00,2549,2511
414,2020-01-18,16:00:00,2613,2570
415,2020-01-18,17:00:00,2748,2713
416,2020-01-18,18:00:00,2358,2333
417,2020-01-18,19:00:00,1667,1639
418,2020-01-18,20:00:00,1105,1088
419,2020-01-18,21:00:00,742,731
420,2020-01-18,22:00:00,686,676
421,2020-01-18,23:00:00,310,305
422,2020-01-19,00:00:00,51,50
423,2020-01-19,01:00:00,5,5
424,2020-01-19,04:00:00,2,2
425,2020-01-19,05:00:00,1,1
426,2020-01-19,06:00:00,9,9
427,2020-01-19,07:00:00,272,269
428,2020-01-19,08:00:00,714,711
429,2020-01-19,09:00:00,700,694
430,2020-01-19,10:00:00,949,937
431,2020-01-19,11:00:00,1499,1486
432,2020-01-19,12:00:00,2128,2096
433,2020-01-19,13:00:00,2263,2229
434,2020-01-19,14:00:00,2207,2169
435,2020-01-19,15:00:00,2138,2096
436,2020-01-19,16:00:00,2009,1971
437,2020-01-19,17:00:00,2095,2057
438,2020-01-19,18:00:00,1838,1816
439,2020-01-19,19:00:00,1434,1416
440,2020-01-19,20:00:00,1011,995
441,2020-01-19,21:00:00,782,769
442,2020-01-19,22:00:00,621,618
443,2020-01-19,23:00:00,263,258
444,2020-01-20,00:00:00,60,60
445,2020-01-20,01:00:00,9,9
446,2020-01-20,02:00:00,1,1
447,2020-01-20,03:00:00,1,1
448,2020-01-20,04:00:00,3,3
449,2020-01-20,05:00:00,4,4
450,2020-01-20,06:00:00,133,132
451,2020-01-20,07:00:00,1868,1850
452,2020-01-20,08:00:00,2325,2309
453,2020-01-20,09:00:00,2119,2099
454,2020-01-20,10:00:00,2042,2024
455,2020-01-20,11:00:00,2741,2703
456,2020-01-20,12:00:00,3383,3344
457,2020-01-20,13:00:00,3013,2979
458,2020-01-20,14:00:00,3084,3046
459,2020-01-20,15:00:00,2664,2622
460,2020-01-20,16:00:00,2576,2536
461,2020-01-20,17:00:00,2827,2782
