tarih_saat,yukleme_adedi,yukleme_yapilan_kart_adedi
2021-01-17 14:00:00,310,307
2021-01-17 15:00:00,331,324
2021-01-17 16:00:00,263,263
2021-01-17 17:00:00,63,63
2021-01-17 18:00:00,35,34
2021-01-17 19:00:00,22,22
2021-01-17 20:00:00,9,9
2021-01-17 21:00:00,16,16
2021-01-17 22:00:00,24,23
2021-01-17 23:00:00,30,29
2021-01-18 00:00:00,4,4
2021-01-18 02:00:00,1,1
2021-01-18 03:00:00,1,1
2021-01-18 04:00:00,2,2
2021-01-18 06:00:00,106,106
2021-01-18 07:00:00,1185,1170
2021-01-18 08:00:00,1227,1216
2021-01-18 09:00:00,1092,1081
2021-01-18 10:00:00,1080,1068
2021-01-18 11:00:00,1235,1221
2021-01-18 12:00:00,1416,1405
2021-01-18 13:00:00,1485,1477
2021-01-18 14:00:00,1332,1320
2021-01-18 15:00:00,1253,1238
2021-01-18 16:00:00,1060,1045
2021-01-18 17:00:00,1217,1205
2021-01-18 18:00:00,1636,1623
2021-01-18 19:00:00,1460,1425
2021-01-18 20:00:00,541,522
2021-01-18 21:00:00,56,49
2021-01-18 22:00:00,26,22
2021-01-18 23:00:00,18,15
2021-01-19 00:00:00,1,1
2021-01-19 01:00:00,1,1
2021-01-19 03:00:00,2,2
2021-01-19 05:00:00,1,1
2021-01-19 06:00:00,62,62
2021-01-19 07:00:00,686,684
2021-01-19 08:00:00,986,979
2021-01-19 09:00:00,844,839
2021-01-19 10:00:00,799,792
2021-01-19 11:00:00,936,922
2021-01-19 12:00:00,1253,1242
2021-01-19 13:00:00,1260,1245
2021-01-19 14:00:00,1225,1217
2021-01-19 15:00:00,1170,1155
2021-01-19 16:00:00,1068,1052
2021-01-19 17:00:00,1104,1091
2021-01-19 18:00:00,1372,1358
2021-01-19 19:00:00,1222,1211
2021-01-19 20:00:00,441,435
2021-01-19 21:00:00,49,48
2021-01-19 22:00:00,26,26
2021-01-19 23:00:00,17,17
2021-01-20 00:00:00,7,7
2021-01-20 01:00:00,2,2
2021-01-20 04:00:00,2,2
2021-01-20 05:00:00,3,3
2021-01-20 06:00:00,72,71
2021-01-20 07:00:00,671,669
2021-01-20 08:00:00,885,872
2021-01-20 09:00:00,779,771
2021-01-20 10:00:00,792,787
2021-01-20 11:00:00,868,860
2021-01-20 12:00:00,1108,1095
2021-01-20 13:00:00,1206,1193
2021-01-20 14:00:00,1100,1084
2021-01-20 15:00:00,1126,1115
2021-01-20 16:00:00,1066,1050
2021-01-20 17:00:00,1132,1113
2021-01-20 18:00:00,1460,1445
2021-01-20 19:00:00,1254,1238
2021-01-20 20:00:00,401,398
2021-01-20 21:00:00,50,47
2021-01-20 22:00:00,26,26
2021-01-20 23:00:00,11,11
2021-01-21 00:00:00,1,1
2021-01-21 01:00:00,3,3
2021-01-21 03:00:00,1,1
2021-01-21 05:00:00,1,1
2021-01-21 06:00:00,69,69
2021-01-21 07:00:00,581,578
2021-01-21 08:00:00,843,835
2021-01-21 09:00:00,716,710
2021-01-21 10:00:00,753,742
2021-01-21 11:00:00,905,895
2021-01-21 12:00:00,1169,1158
2021-01-21 13:00:00,1258,1244
2021-01-21 14:00:00,1176,1157
2021-01-21 15:00:00,1076,1066
2021-01-21 16:00:00,1056,1040
2021-01-21 17:00:00,992,987
2021-01-21 18:00:00,1318,1305
2021-01-21 19:00:00,1211,1202
2021-01-21 20:00:00,416,410
2021-01-21 21:00:00,40,39
2021-01-21 22:00:00,21,19
2021-01-21 23:00:00,15,15
2021-01-22 00:00:00,5,5
2021-01-22 02:00:00,1,1
2021-01-22 03:00:00,1,1
2021-01-22 05:00:00,1,1
2021-01-22 06:00:00,58,58
2021-01-22 07:00:00,668,659
2021-01-22 08:00:00,885,874
2021-01-22 09:00:00,785,777
2021-01-22 10:00:00,864,856
2021-01-22 11:00:00,989,974
2021-01-22 12:00:00,1150,1141
2021-01-22 13:00:00,1029,1014
2021-01-22 14:00:00,1420,1401
2021-01-22 15:00:00,1241,1222
2021-01-22 16:00:00,1216,1194
2021-01-22 17:00:00,1179,1167
2021-01-22 18:00:00,1429,1416
2021-01-22 19:00:00,1212,1191
2021-01-22 20:00:00,487,478
2021-01-22 21:00:00,50,50
2021-01-22 22:00:00,11,11
2021-01-22 23:00:00,10,10
2021-01-23 00:00:00,3,3
2021-01-23 06:00:00,10,10
2021-01-23 07:00:00,32,31
2021-01-23 08:00:00,35,33
2021-01-23 09:00:00,41,41
2021-01-23 10:00:00,65,63
2021-01-23 11:00:00,75,73
2021-01-23 12:00:00,127,127
2021-01-23 13:00:00,194,192
2021-01-23 14:00:00,245,233
2021-01-23 15:00:00,228,225
2021-01-23 16:00:00,259,252
2021-01-23 17:00:00,103,102
2021-01-23 18:00:00,62,58
2021-01-23 19:00:00,17,15
2021-01-23 20:00:00,13,13
2021-01-23 21:00:00,10,10
2021-01-23 22:00:00,6,6
2021-01-23 23:00:00,4,4
2021-01-24 00:00:00,1,1
2021-01-24 01:00:00,1,1
2021-01-24 06:00:00,1,1
2021-01-24 07:00:00,14,14
2021-01-24 08:00:00,18,18
2021-01-24 09:00:00,23,20
2021-01-24 10:00:00,77,77
2021-01-24 11:00:00,103,101
2021-01-24 12:00:00,173,169
2021-01-24 13:00:00,263,259
2021-01-24 14:00:00,281,278
2021-01-24 15:00:00,359,355
2021-01-24 16:00:00,340,337
2021-01-24 17:00:00,92,91
2021-01-24 18:00:00,35,30
2021-01-24 19:00:00,19,19
2021-01-24 20:00:00,17,17
2021-01-24 21:00:00,22,20
2021-01-24 22:00:00,24,24
2021-01-24 23:00:00,24,24
2021-01-25 00:00:00,6,6
2021-01-25 01:00:00,2,2
2021-01-25 02:00:00,1,1
2021-01-25 03:00:00,2,2
2021-01-25 04:00:00,1,1
2021-01-25 05:00:00,3,3
2021-01-25 06:00:00,125,125
2021-01-25 07:00:00,1290,1283
2021-01-25 08:00:00,1431,1427
2021-01-25 09:00:00,1233,1218
2021-01-25 10:00:00,1185,1178
2021-01-25 11:00:00,1381,1370
2021-01-25 12:00:00,1819,1799
2021-01-25 13:00:00,1670,1652
2021-01-25 14:00:00,1604,1586
2021-01-25 15:00:00,1523,1505
2021-01-25 16:00:00,1439,1421
2021-01-25 17:00:00,1330,1314
2021-01-25 18:00:00,1707,1698
2021-01-25 19:00:00,1426,1413
2021-01-25 20:00:00,536,526
2021-01-25 21:00:00,57,57
2021-01-25 22:00:00,16,15
2021-01-25 23:00:00,23,23
2021-01-26 00:00:00,3,3
2021-01-26 01:00:00,1,1
2021-01-26 04:00:00,1,1
2021-01-26 05:00:00,1,1
2021-01-26 06:00:00,64,64
2021-01-26 07:00:00,751,745
2021-01-26 08:00:00,1010,1001
2021-01-26 09:00:00,925,915
2021-01-26 10:00:00,978,971
2021-01-26 11:00:00,1104,1094
2021-01-26 12:00:00,1416,1405
2021-01-26 13:00:00,1440,1430
2021-01-26 14:00:00,1339,1325
2021-01-26 15:00:00,1173,1151
2021-01-26 16:00:00,1250,1237
2021-01-26 17:00:00,1174,1154
2021-01-26 18:00:00,1340,1319
2021-01-26 19:00:00,1240,1223
2021-01-26 20:00:00,456,449
2021-01-26 21:00:00,38,38
2021-01-26 22:00:00,29,29
2021-01-26 23:00:00,20,20
2021-01-27 00:00:00,9,9
2021-01-27 02:00:00,3,3
2021-01-27 03:00:00,3,3
2021-01-27 06:00:00,60,60
2021-01-27 07:00:00,731,720
2021-01-27 08:00:00,935,927
2021-01-27 09:00:00,878,871
2021-01-27 10:00:00,883,875
2021-01-27 11:00:00,1080,1061
2021-01-27 12:00:00,1348,1328
2021-01-27 13:00:00,1327,1312
2021-01-27 14:00:00,1119,1100
2021-01-27 15:00:00,1177,1162
2021-01-27 16:00:00,1102,1085
2021-01-27 17:00:00,1014,1004
2021-01-27 18:00:00,1183,1174
2021-01-27 19:00:00,977,967
2021-01-27 20:00:00,367,363
2021-01-27 21:00:00,52,51
2021-01-27 22:00:00,27,27
2021-01-27 23:00:00,17,16
2021-01-28 00:00:00,2,2
2021-01-28 02:00:00,1,1
2021-01-28 03:00:00,1,1
2021-01-28 05:00:00,3,3
2021-01-28 06:00:00,66,66
2021-01-28 07:00:00,708,700
2021-01-28 08:00:00,868,865
2021-01-28 09:00:00,826,820
2021-01-28 10:00:00,873,861
2021-01-28 11:00:00,1033,1026
2021-01-28 12:00:00,1370,1353
2021-01-28 13:00:00,1371,1352
2021-01-28 14:00:00,1219,1207
2021-01-28 15:00:00,1172,1158
2021-01-28 16:00:00,1195,1173
2021-01-28 17:00:00,1026,1019
2021-01-28 18:00:00,1381,1368
2021-01-28 19:00:00,1302,1284
2021-01-28 20:00:00,466,458
2021-01-28 21:00:00,55,52
