_id,tarih,deger,birim
231,2013-10-08T00:00:00,17745,Ton
232,2013-11-08T00:00:00,10600,Ton
233,2013-12-08T00:00:00,29985,Ton
234,2013-08-13T00:00:00,28055,Ton
235,2013-08-14T00:00:00,29255,Ton
236,2013-08-15T00:00:00,30360,Ton
237,2013-08-16T00:00:00,30080,Ton
238,2013-08-17T00:00:00,33220,Ton
239,2013-08-18T00:00:00,17405,Ton
240,2013-08-19T00:00:00,39410,Ton
241,2013-08-20T00:00:00,33560,Ton
242,2013-08-21T00:00:00,30715,Ton
243,2013-08-22T00:00:00,34595,Ton
244,2013-08-23T00:00:00,28355,Ton
245,2013-08-24T00:00:00,31385,Ton
246,2013-08-25T00:00:00,19440,Ton
247,2013-08-26T00:00:00,36205,Ton
248,2013-08-27T00:00:00,36405,Ton
249,2013-08-28T00:00:00,31750,Ton
250,2013-08-29T00:00:00,31575,Ton
251,2013-08-30T00:00:00,31220,Ton
252,2013-08-31T00:00:00,32945,Ton
253,2013-01-09T00:00:00,20085,Ton
254,2013-02-09T00:00:00,41655,Ton
255,2013-03-09T00:00:00,36380,Ton
256,2013-04-09T00:00:00,35145,Ton
257,2013-05-09T00:00:00,32660,Ton
258,2013-06-09T00:00:00,33470,Ton
259,2013-07-09T00:00:00,29340,Ton
260,2013-08-09T00:00:00,17810,Ton
261,2013-09-09T00:00:00,40560,Ton
262,2013-10-09T00:00:00,36555,Ton
263,2013-11-09T00:00:00,33730,Ton
264,2013-12-09T00:00:00,31085,Ton
265,2013-09-13T00:00:00,30515,Ton
266,2013-09-14T00:00:00,32595,Ton
267,2013-09-15T00:00:00,18500,Ton
268,2013-09-16T00:00:00,39155,Ton
269,2013-09-17T00:00:00,35660,Ton
270,2013-09-18T00:00:00,30695,Ton
271,2013-09-19T00:00:00,32940,Ton
272,2013-09-20T00:00:00,30820,Ton
273,2013-09-21T00:00:00,31175,Ton
274,2013-09-22T00:00:00,18000,Ton
275,2013-09-23T00:00:00,42890,Ton
276,2013-09-24T00:00:00,37620,Ton
277,2013-09-25T00:00:00,32350,Ton
278,2013-09-26T00:00:00,31870,Ton
279,2013-09-27T00:00:00,31300,Ton
280,2013-09-28T00:00:00,31620,Ton
281,2013-09-29T00:00:00,16160,Ton
