,tarih,değer (ton)
345,2013-03-12,"42285,0"
346,2013-04-12,"34640,0"
347,2013-05-12,"33000,0"
348,2013-06-12,"31580,0"
349,2013-07-12,"33135,0"
350,2013-08-12,"18370,0"
351,2013-09-12,"40760,0"
352,2013-10-12,"36840,0"
353,2013-11-12,"30650,0"
354,2013-12-12,"26940,0"
355,2013-12-13,"29150,0"
356,2013-12-14,"33095,0"
357,2013-12-15,"16385,0"
358,2013-12-16,"41835,0"
359,2013-12-17,"45130,0"
360,2013-12-18,"38380,0"
361,2013-12-19,"34880,0"
362,2013-12-20,"30860,0"
363,2013-12-21,"32350,0"
364,2013-12-22,"15725,0"
365,2013-12-23,"38720,0"
366,2013-12-24,"36280,0"
367,2013-12-25,"34785,0"
368,2013-12-26,"34000,0"
369,2013-12-27,"38815,0"
370,2013-12-28,"37775,0"
371,2013-12-29,"19350,0"
372,2013-12-30,"41230,0"
373,2013-12-31,"44960,0"
374,2014-01-01,"40830,0"
375,2014-02-01,"36175,0"
376,2014-03-01,"31370,0"
377,2014-04-01,"39615,0"
378,2014-05-01,"21675,0"
379,2014-06-01,"46040,0"
380,2014-07-01,"42505,0"
381,2014-08-01,"35725,0"
382,2014-09-01,"32620,0"
383,2014-10-01,"36545,0"
384,2014-11-01,"33825,0"
385,2014-12-01,"17980,0"
386,2014-01-13,"40875,0"
387,2014-01-14,"42245,0"
388,2014-01-15,"39470,0"
389,2014-01-16,"33165,0"
390,2014-01-17,"33965,0"
391,2014-01-18,"37550,0"
392,2014-01-19,"18550,0"
393,2014-01-20,"45915,0"
394,2014-01-21,"43140,0"
395,2014-01-22,"38190,0"
396,2014-01-23,"36075,0"
397,2014-01-24,"34770,0"
398,2014-01-25,"30305,0"
399,2014-01-26,"18265,0"
400,2014-01-27,"43395,0"
401,2014-01-28,"42690,0"
402,2014-01-29,"37685,0"
403,2014-01-30,"34625,0"
404,2014-01-31,"31405,0"
405,2014-01-02,"35970,0"
406,2014-02-02,"15850,0"
407,2014-03-02,"36930,0"
408,2014-04-02,"34925,0"
409,2014-05-02,"33160,0"
410,2014-06-02,"31030,0"
411,2014-07-02,"31190,0"
412,2014-08-02,"34340,0"
413,2014-09-02,"18385,0"
414,2014-10-02,"40155,0"
415,2014-11-02,"40710,0"
416,2014-12-02,"34830,0"
417,2014-02-13,"33455,0"
418,2014-02-14,"30325,0"
419,2014-02-15,"32125,0"
420,2014-02-16,"16470,0"
421,2014-02-17,"39940,0"
422,2014-02-18,"36235,0"
423,2014-02-19,"34915,0"
424,2014-02-20,"28490,0"
425,2014-02-21,"35710,0"
426,2014-02-22,"34565,0"
427,2014-02-23,"18095,0"
428,2014-02-24,"38535,0"
429,2014-02-25,"38160,0"
430,2014-02-26,"35900,0"
431,2014-02-27,"31835,0"
432,2014-02-28,"29840,0"
433,2014-01-03,"31720,0"
434,2014-02-03,"16385,0"
435,2014-03-03,"42540,0"
436,2014-04-03,"40305,0"
437,2014-05-03,"32210,0"
438,2014-06-03,"29155,0"
439,2014-07-03,"29585,0"
440,2014-08-03,"31915,0"
441,2014-09-03,"17065,0"
442,2014-10-03,"38935,0"
443,2014-11-03,"40690,0"
444,2014-12-03,"28320,0"
445,2014-03-13,"30640,0"
446,2014-03-14,"28270,0"
447,2014-03-15,"32235,0"
448,2014-03-16,"17650,0"
449,2014-03-17,"39560,0"
450,2014-03-18,"38255,0"
451,2014-03-19,"33360,0"
452,2014-03-20,"33150,0"
453,2014-03-21,"32000,0"
454,2014-03-22,"31720,0"
455,2014-03-23,"18695,0"
456,2014-03-24,"39830,0"
457,2014-03-25,"35530,0"
458,2014-03-26,"32650,0"
459,2014-03-27,"28440,0"
460,2014-03-28,"28425,0"
461,2014-03-29,"28800,0"
462,2014-03-30,"12570,0"
463,2014-03-31,"36055,0"
464,2014-01-04,"31380,0"
465,2014-02-04,"31720,0"
466,2014-03-04,"33135,0"
467,2014-04-04,"28465,0"
468,2014-05-04,"31500,0"
469,2014-06-04,"17515,0"
470,2014-07-04,"37825,0"
471,2014-08-04,"32725,0"
472,2014-09-04,"30410,0"
473,2014-10-04,"29940,0"
474,2014-11-04,"29005,0"
475,2014-12-04,"30725,0"
476,2014-04-13,"16435,0"
477,2014-04-14,"38430,0"
478,2014-04-15,"34965,0"
479,2014-04-16,"28535,0"
480,2014-04-17,"29400,0"
481,2014-04-18,"29525,0"
482,2014-04-19,"26145,0"
483,2014-04-20,"16310,0"
484,2014-04-21,"37855,0"
485,2014-04-22,"33290,0"
486,2014-04-23,"30510,0"
487,2014-04-24,"27915,0"
488,2014-04-25,"30900,0"
489,2014-04-26,"29090,0"
490,2014-04-27,"15410,0"
491,2014-04-28,"39335,0"
492,2014-04-29,"31835,0"
493,2014-04-30,"29545,0"
494,2014-01-05,"28210,0"
495,2014-02-05,"28525,0"
496,2014-03-05,"29660,0"
497,2014-04-05,"16490,0"
498,2014-05-05,"32465,0"
499,2014-06-05,"32065,0"
500,2014-07-05,"29755,0"
501,2014-08-05,"28565,0"
502,2014-09-05,"28045,0"
503,2014-10-05,"30015,0"
504,2014-11-05,"16540,0"
505,2014-12-05,"39420,0"
506,2014-05-13,"34775,0"
507,2014-05-14,"29220,0"
508,2014-05-15,"30695,0"
509,2014-05-16,"29720,0"
510,2014-05-17,"30075,0"
511,2014-05-18,"17730,0"
512,2014-05-19,"35345,0"
513,2014-05-20,"38900,0"
514,2014-05-21,"31035,0"
515,2014-05-22,"31880,0"
516,2014-05-23,"28170,0"
517,2014-05-24,"27705,0"
518,2014-05-25,"16420,0"
519,2014-05-26,"34915,0"
520,2014-05-27,"36675,0"
521,2014-05-28,"28505,0"
522,2014-05-29,"30495,0"
523,2014-05-30,"29725,0"
524,2014-05-31,"31215,0"
525,2014-01-06,"14195,0"
526,2014-02-06,"36505,0"
527,2014-03-06,"35320,0"
528,2014-04-06,"30965,0"
529,2014-05-06,"31185,0"
530,2014-06-06,"28950,0"
531,2014-07-06,"29460,0"
532,2014-08-06,"15300,0"
533,2014-09-06,"35710,0"
534,2014-10-06,"35995,0"
535,2014-11-06,"29735,0"
536,2014-12-06,"30840,0"
537,2014-06-13,"29350,0"
538,2014-06-14,"30340,0"
539,2014-06-15,"18410,0"
540,2014-06-16,"36200,0"
541,2014-06-17,"35660,0"
542,2014-06-18,"30350,0"
543,2014-06-19,"31010,0"
544,2014-06-20,"29150,0"
545,2014-06-21,"29900,0"
546,2014-06-22,"17460,0"
547,2014-06-23,"40180,0"
548,2014-06-24,"37180,0"
549,2014-06-25,"35445,0"
550,2014-06-26,"34805,0"
551,2014-06-27,"34290,0"
552,2014-06-28,"31620,0"
553,2014-06-29,"15380,0"
554,2014-06-30,"33485,0"
555,2014-01-07,"32365,0"
556,2014-02-07,"30125,0"
557,2014-03-07,"28365,0"
558,2014-04-07,"30490,0"
559,2014-05-07,"30475,0"
560,2014-06-07,"16075,0"
561,2014-07-07,"37080,0"
562,2014-08-07,"32450,0"
563,2014-09-07,"29340,0"
564,2014-10-07,"32165,0"
565,2014-11-07,"27675,0"
566,2014-12-07,"27935,0"
567,2014-07-13,"16305,0"
568,2014-07-14,"36810,0"
569,2014-07-15,"32465,0"
570,2014-07-16,"33440,0"
571,2014-07-17,"30320,0"
572,2014-07-18,"30100,0"
573,2014-07-19,"27505,0"
574,2014-07-20,"17515,0"
575,2014-07-21,"42715,0"
576,2014-07-22,"34630,0"
577,2014-07-23,"29530,0"
578,2014-07-24,"32615,0"
