_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
384,2019-01-17T00:00:00,13,2968,2934
385,2019-01-17T00:00:00,14,2777,2747
386,2019-01-17T00:00:00,15,2992,2956
387,2019-01-17T00:00:00,16,2953,2914
388,2019-01-17T00:00:00,17,2957,2923
389,2019-01-17T00:00:00,18,2982,2942
390,2019-01-17T00:00:00,19,2015,1998
391,2019-01-17T00:00:00,20,1344,1325
392,2019-01-17T00:00:00,21,937,931
393,2019-01-17T00:00:00,22,681,673
394,2019-01-17T00:00:00,23,357,351
395,2019-01-18T00:00:00,0,46,46
396,2019-01-18T00:00:00,1,11,11
397,2019-01-18T00:00:00,2,3,3
398,2019-01-18T00:00:00,3,2,2
399,2019-01-18T00:00:00,4,2,2
400,2019-01-18T00:00:00,5,5,4
401,2019-01-18T00:00:00,6,93,93
402,2019-01-18T00:00:00,7,1466,1458
403,2019-01-18T00:00:00,8,2652,2622
404,2019-01-18T00:00:00,9,2717,2691
405,2019-01-18T00:00:00,10,3142,3095
406,2019-01-18T00:00:00,11,3517,3479
407,2019-01-18T00:00:00,12,3360,3332
408,2019-01-18T00:00:00,13,2271,2236
409,2019-01-18T00:00:00,14,3627,3579
410,2019-01-18T00:00:00,15,3367,3323
411,2019-01-18T00:00:00,16,3153,3120
412,2019-01-18T00:00:00,17,3027,2987
413,2019-01-18T00:00:00,18,2796,2763
414,2019-01-18T00:00:00,19,1928,1907
415,2019-01-18T00:00:00,20,1183,1166
416,2019-01-18T00:00:00,21,841,834
417,2019-01-18T00:00:00,22,640,638
418,2019-01-18T00:00:00,23,310,306
419,2019-01-19T00:00:00,0,46,46
420,2019-01-19T00:00:00,1,2,2
421,2019-01-19T00:00:00,2,2,2
422,2019-01-19T00:00:00,5,3,3
423,2019-01-19T00:00:00,6,55,55
424,2019-01-19T00:00:00,7,692,682
425,2019-01-19T00:00:00,8,1252,1236
426,2019-01-19T00:00:00,9,1272,1260
427,2019-01-19T00:00:00,10,1489,1469
428,2019-01-19T00:00:00,11,2225,2203
429,2019-01-19T00:00:00,12,2850,2824
430,2019-01-19T00:00:00,13,2862,2827
431,2019-01-19T00:00:00,14,2626,2591
432,2019-01-19T00:00:00,15,2483,2450
433,2019-01-19T00:00:00,16,2578,2549
434,2019-01-19T00:00:00,17,2725,2691
435,2019-01-19T00:00:00,18,2446,2421
436,2019-01-19T00:00:00,19,1609,1589
437,2019-01-19T00:00:00,20,1036,1023
438,2019-01-19T00:00:00,21,732,721
439,2019-01-19T00:00:00,22,598,588
440,2019-01-19T00:00:00,23,308,303
441,2019-01-20T00:00:00,0,46,46
442,2019-01-20T00:00:00,1,2,2
443,2019-01-20T00:00:00,2,1,1
444,2019-01-20T00:00:00,3,1,1
445,2019-01-20T00:00:00,5,6,6
446,2019-01-20T00:00:00,6,14,14
447,2019-01-20T00:00:00,7,158,158
448,2019-01-20T00:00:00,8,525,514
449,2019-01-20T00:00:00,9,627,621
450,2019-01-20T00:00:00,10,833,822
451,2019-01-20T00:00:00,11,1198,1178
452,2019-01-20T00:00:00,12,2061,2028
453,2019-01-20T00:00:00,13,2116,2094
454,2019-01-20T00:00:00,14,2193,2172
455,2019-01-20T00:00:00,15,2104,2072
456,2019-01-20T00:00:00,16,2047,2020
457,2019-01-20T00:00:00,17,2158,2126
458,2019-01-20T00:00:00,18,1795,1770
459,2019-01-20T00:00:00,19,1260,1247
460,2019-01-20T00:00:00,20,928,913
461,2019-01-20T00:00:00,21,757,751
462,2019-01-20T00:00:00,22,548,543
463,2019-01-20T00:00:00,23,260,257
464,2019-01-21T00:00:00,0,33,32
465,2019-01-21T00:00:00,1,5,5
466,2019-01-21T00:00:00,2,3,3
467,2019-01-21T00:00:00,3,4,4
468,2019-01-21T00:00:00,4,2,2
469,2019-01-21T00:00:00,5,1,1
470,2019-01-21T00:00:00,6,109,109
471,2019-01-21T00:00:00,7,1306,1297
472,2019-01-21T00:00:00,8,1995,1977
473,2019-01-21T00:00:00,9,1978,1964
474,2019-01-21T00:00:00,10,1922,1905
475,2019-01-21T00:00:00,11,2505,2474
476,2019-01-21T00:00:00,12,3067,3036
477,2019-01-21T00:00:00,13,2827,2790
478,2019-01-21T00:00:00,14,2724,2685
479,2019-01-21T00:00:00,15,2711,2669
480,2019-01-21T00:00:00,16,2762,2726
481,2019-01-21T00:00:00,17,2943,2906
482,2019-01-21T00:00:00,18,2761,2738
483,2019-01-21T00:00:00,19,1848,1829
484,2019-01-21T00:00:00,20,992,980
485,2019-01-21T00:00:00,21,642,633
486,2019-01-21T00:00:00,22,536,531
487,2019-01-21T00:00:00,23,294,287
488,2019-01-22T00:00:00,0,47,47
489,2019-01-22T00:00:00,1,7,7
490,2019-01-22T00:00:00,3,1,1
491,2019-01-22T00:00:00,5,3,3
