,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
626,2021-01-30,16:00:00,221,221
627,2021-01-30,17:00:00,107,106
628,2021-01-30,18:00:00,48,47
629,2021-01-30,19:00:00,15,14
630,2021-01-30,20:00:00,9,9
631,2021-01-30,21:00:00,11,11
632,2021-01-30,22:00:00,5,5
633,2021-01-30,23:00:00,8,8
634,2021-01-31,01:00:00,4,4
635,2021-01-31,06:00:00,2,2
636,2021-01-31,07:00:00,14,14
637,2021-01-31,08:00:00,10,10
638,2021-01-31,09:00:00,22,22
639,2021-01-31,10:00:00,65,65
640,2021-01-31,11:00:00,133,132
641,2021-01-31,12:00:00,209,206
642,2021-01-31,13:00:00,294,289
643,2021-01-31,14:00:00,354,349
644,2021-01-31,15:00:00,373,368
645,2021-01-31,16:00:00,343,338
646,2021-01-31,17:00:00,103,101
647,2021-01-31,18:00:00,54,51
648,2021-01-31,19:00:00,27,27
649,2021-01-31,20:00:00,20,20
650,2021-01-31,21:00:00,21,20
651,2021-01-31,22:00:00,20,20
652,2021-01-31,23:00:00,19,19
653,2021-02-01,00:00:00,8,8
654,2021-02-01,01:00:00,1,1
655,2021-02-01,03:00:00,1,1
656,2021-02-01,04:00:00,1,1
657,2021-02-01,05:00:00,2,2
658,2021-02-01,06:00:00,123,123
659,2021-02-01,07:00:00,1345,1333
660,2021-02-01,08:00:00,1504,1495
661,2021-02-01,09:00:00,1398,1388
662,2021-02-01,10:00:00,1263,1251
663,2021-02-01,11:00:00,1442,1427
664,2021-02-01,12:00:00,1936,1918
665,2021-02-01,13:00:00,1804,1786
666,2021-02-01,14:00:00,1631,1619
667,2021-02-01,15:00:00,1570,1558
668,2021-02-01,16:00:00,1482,1459
669,2021-02-01,17:00:00,1464,1442
670,2021-02-01,18:00:00,1877,1853
671,2021-02-01,19:00:00,1747,1726
672,2021-02-01,20:00:00,644,630
673,2021-02-01,21:00:00,45,45
674,2021-02-01,22:00:00,33,33
675,2021-02-01,23:00:00,22,22
676,2021-02-02,00:00:00,4,4
677,2021-02-02,04:00:00,2,2
678,2021-02-02,05:00:00,4,4
679,2021-02-02,06:00:00,95,95
680,2021-02-02,07:00:00,811,801
681,2021-02-02,08:00:00,1141,1133
682,2021-02-02,09:00:00,974,960
683,2021-02-02,10:00:00,977,964
684,2021-02-02,11:00:00,1198,1183
685,2021-02-02,12:00:00,1573,1554
686,2021-02-02,13:00:00,1428,1415
687,2021-02-02,14:00:00,1360,1344
688,2021-02-02,15:00:00,1393,1368
689,2021-02-02,16:00:00,1233,1223
690,2021-02-02,17:00:00,1272,1263
691,2021-02-02,18:00:00,1494,1474
692,2021-02-02,19:00:00,1375,1357
693,2021-02-02,20:00:00,506,504
694,2021-02-02,21:00:00,53,49
695,2021-02-02,22:00:00,20,19
696,2021-02-02,23:00:00,29,29
697,2021-02-03,00:00:00,7,7
698,2021-02-03,01:00:00,1,1
699,2021-02-03,02:00:00,1,1
700,2021-02-03,03:00:00,3,3
701,2021-02-03,05:00:00,1,1
702,2021-02-03,06:00:00,74,73
703,2021-02-03,07:00:00,813,799
704,2021-02-03,08:00:00,1059,1045
705,2021-02-03,09:00:00,997,988
