,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
303,2021-01-15,18:00:00,1370,1353
304,2021-01-15,19:00:00,1313,1295
305,2021-01-15,20:00:00,458,452
306,2021-01-15,21:00:00,44,42
307,2021-01-15,22:00:00,16,12
308,2021-01-15,23:00:00,9,9
309,2021-01-16,00:00:00,2,2
310,2021-01-16,01:00:00,1,1
311,2021-01-16,02:00:00,1,1
312,2021-01-16,05:00:00,1,1
313,2021-01-16,06:00:00,9,9
314,2021-01-16,07:00:00,36,31
315,2021-01-16,08:00:00,32,30
316,2021-01-16,09:00:00,26,26
317,2021-01-16,10:00:00,51,51
318,2021-01-16,11:00:00,89,88
319,2021-01-16,12:00:00,145,144
320,2021-01-16,13:00:00,216,209
321,2021-01-16,14:00:00,208,207
322,2021-01-16,15:00:00,198,195
323,2021-01-16,16:00:00,254,250
324,2021-01-16,17:00:00,103,102
325,2021-01-16,18:00:00,53,50
326,2021-01-16,19:00:00,26,23
327,2021-01-16,20:00:00,9,8
328,2021-01-16,21:00:00,4,4
329,2021-01-16,22:00:00,4,3
330,2021-01-16,23:00:00,5,5
331,2021-01-17,00:00:00,1,1
332,2021-01-17,01:00:00,1,1
333,2021-01-17,03:00:00,1,1
334,2021-01-17,04:00:00,1,1
335,2021-01-17,06:00:00,1,1
336,2021-01-17,07:00:00,9,8
337,2021-01-17,08:00:00,21,18
338,2021-01-17,09:00:00,15,15
339,2021-01-17,10:00:00,65,64
340,2021-01-17,11:00:00,120,119
341,2021-01-17,12:00:00,175,175
342,2021-01-17,13:00:00,241,238
343,2021-01-17,14:00:00,310,307
344,2021-01-17,15:00:00,331,324
345,2021-01-17,16:00:00,263,263
346,2021-01-17,17:00:00,63,63
347,2021-01-17,18:00:00,35,34
348,2021-01-17,19:00:00,22,22
349,2021-01-17,20:00:00,9,9
350,2021-01-17,21:00:00,16,16
351,2021-01-17,22:00:00,24,23
352,2021-01-17,23:00:00,30,29
353,2021-01-18,00:00:00,4,4
354,2021-01-18,02:00:00,1,1
355,2021-01-18,03:00:00,1,1
356,2021-01-18,04:00:00,2,2
357,2021-01-18,06:00:00,106,106
358,2021-01-18,07:00:00,1185,1170
359,2021-01-18,08:00:00,1227,1216
360,2021-01-18,09:00:00,1092,1081
361,2021-01-18,10:00:00,1080,1068
362,2021-01-18,11:00:00,1235,1221
363,2021-01-18,12:00:00,1416,1405
364,2021-01-18,13:00:00,1485,1477
365,2021-01-18,14:00:00,1332,1320
366,2021-01-18,15:00:00,1253,1238
367,2021-01-18,16:00:00,1060,1045
368,2021-01-18,17:00:00,1217,1205
369,2021-01-18,18:00:00,1636,1623
370,2021-01-18,19:00:00,1460,1425
371,2021-01-18,20:00:00,541,522
372,2021-01-18,21:00:00,56,49
373,2021-01-18,22:00:00,26,22
374,2021-01-18,23:00:00,18,15
375,2021-01-19,00:00:00,1,1
376,2021-01-19,01:00:00,1,1
377,2021-01-19,03:00:00,2,2
378,2021-01-19,05:00:00,1,1
379,2021-01-19,06:00:00,62,62
380,2021-01-19,07:00:00,686,684
381,2021-01-19,08:00:00,986,979
382,2021-01-19,09:00:00,844,839
383,2021-01-19,10:00:00,799,792
384,2021-01-19,11:00:00,936,922
385,2021-01-19,12:00:00,1253,1242
386,2021-01-19,13:00:00,1260,1245
387,2021-01-19,14:00:00,1225,1217
388,2021-01-19,15:00:00,1170,1155
389,2021-01-19,16:00:00,1068,1052
390,2021-01-19,17:00:00,1104,1091
391,2021-01-19,18:00:00,1372,1358
392,2021-01-19,19:00:00,1222,1211
393,2021-01-19,20:00:00,441,435
394,2021-01-19,21:00:00,49,48
395,2021-01-19,22:00:00,26,26
396,2021-01-19,23:00:00,17,17
397,2021-01-20,00:00:00,7,7
398,2021-01-20,01:00:00,2,2
399,2021-01-20,04:00:00,2,2
400,2021-01-20,05:00:00,3,3
401,2021-01-20,06:00:00,72,71
402,2021-01-20,07:00:00,671,669
403,2021-01-20,08:00:00,885,872
404,2021-01-20,09:00:00,779,771
405,2021-01-20,10:00:00,792,787
406,2021-01-20,11:00:00,868,860
407,2021-01-20,12:00:00,1108,1095
408,2021-01-20,13:00:00,1206,1193
409,2021-01-20,14:00:00,1100,1084
410,2021-01-20,15:00:00,1126,1115
411,2021-01-20,16:00:00,1066,1050
412,2021-01-20,17:00:00,1132,1113
413,2021-01-20,18:00:00,1460,1445
414,2021-01-20,19:00:00,1254,1238
415,2021-01-20,20:00:00,401,398
416,2021-01-20,21:00:00,50,47
417,2021-01-20,22:00:00,26,26
418,2021-01-20,23:00:00,11,11
419,2021-01-21,00:00:00,1,1
420,2021-01-21,01:00:00,3,3
421,2021-01-21,03:00:00,1,1
422,2021-01-21,05:00:00,1,1
423,2021-01-21,06:00:00,69,69
424,2021-01-21,07:00:00,581,578
425,2021-01-21,08:00:00,843,835
426,2021-01-21,09:00:00,716,710
427,2021-01-21,10:00:00,753,742
428,2021-01-21,11:00:00,905,895
429,2021-01-21,12:00:00,1169,1158
430,2021-01-21,13:00:00,1258,1244
431,2021-01-21,14:00:00,1176,1157
432,2021-01-21,15:00:00,1076,1066
433,2021-01-21,16:00:00,1056,1040
434,2021-01-21,17:00:00,992,987
435,2021-01-21,18:00:00,1318,1305
436,2021-01-21,19:00:00,1211,1202
437,2021-01-21,20:00:00,416,410
438,2021-01-21,21:00:00,40,39
439,2021-01-21,22:00:00,21,19
440,2021-01-21,23:00:00,15,15
441,2021-01-22,00:00:00,5,5
442,2021-01-22,02:00:00,1,1
443,2021-01-22,03:00:00,1,1
444,2021-01-22,05:00:00,1,1
445,2021-01-22,06:00:00,58,58
446,2021-01-22,07:00:00,668,659
447,2021-01-22,08:00:00,885,874
448,2021-01-22,09:00:00,785,777
