_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
204,2020-01-09T00:00:00,17,3080,3043
205,2020-01-09T00:00:00,18,2734,2699
206,2020-01-09T00:00:00,19,2088,2070
207,2020-01-09T00:00:00,20,1402,1388
208,2020-01-09T00:00:00,21,925,910
209,2020-01-09T00:00:00,22,692,683
210,2020-01-09T00:00:00,23,267,265
211,2020-01-10T00:00:00,0,65,63
212,2020-01-10T00:00:00,1,11,11
213,2020-01-10T00:00:00,2,7,7
214,2020-01-10T00:00:00,3,4,4
215,2020-01-10T00:00:00,4,4,4
216,2020-01-10T00:00:00,5,6,6
217,2020-01-10T00:00:00,6,154,154
218,2020-01-10T00:00:00,7,2416,2397
219,2020-01-10T00:00:00,8,2881,2848
220,2020-01-10T00:00:00,9,2077,2060
221,2020-01-10T00:00:00,10,2013,1992
222,2020-01-10T00:00:00,11,2262,2236
223,2020-01-10T00:00:00,12,3043,3009
224,2020-01-10T00:00:00,13,2291,2264
225,2020-01-10T00:00:00,14,3039,3014
226,2020-01-10T00:00:00,15,3548,3502
227,2020-01-10T00:00:00,16,3774,3723
228,2020-01-10T00:00:00,17,3252,3222
229,2020-01-10T00:00:00,18,2828,2811
230,2020-01-10T00:00:00,19,2269,2243
231,2020-01-10T00:00:00,20,1472,1459
232,2020-01-10T00:00:00,21,1020,1001
233,2020-01-10T00:00:00,22,676,671
234,2020-01-10T00:00:00,23,280,277
235,2020-01-11T00:00:00,0,49,49
236,2020-01-11T00:00:00,1,12,12
237,2020-01-11T00:00:00,2,3,3
238,2020-01-11T00:00:00,3,1,1
239,2020-01-11T00:00:00,4,4,4
240,2020-01-11T00:00:00,5,3,3
241,2020-01-11T00:00:00,6,55,55
242,2020-01-11T00:00:00,7,898,891
243,2020-01-11T00:00:00,8,1701,1686
244,2020-01-11T00:00:00,9,1641,1620
245,2020-01-11T00:00:00,10,1716,1701
246,2020-01-11T00:00:00,11,2598,2567
247,2020-01-11T00:00:00,12,3484,3441
248,2020-01-11T00:00:00,13,3598,3544
249,2020-01-11T00:00:00,14,3241,3198
250,2020-01-11T00:00:00,15,3096,3057
251,2020-01-11T00:00:00,16,3122,3085
252,2020-01-11T00:00:00,17,3250,3216
253,2020-01-11T00:00:00,18,2862,2832
254,2020-01-11T00:00:00,19,2045,2023
255,2020-01-11T00:00:00,20,1314,1294
256,2020-01-11T00:00:00,21,897,891
257,2020-01-11T00:00:00,22,685,678
258,2020-01-11T00:00:00,23,361,357
259,2020-01-12T00:00:00,0,59,58
260,2020-01-12T00:00:00,1,11,11
261,2020-01-12T00:00:00,2,3,3
262,2020-01-12T00:00:00,3,3,3
263,2020-01-12T00:00:00,6,2,2
264,2020-01-12T00:00:00,7,143,143
265,2020-01-12T00:00:00,8,614,606
266,2020-01-12T00:00:00,9,853,846
267,2020-01-12T00:00:00,10,981,972
268,2020-01-12T00:00:00,11,1715,1698
269,2020-01-12T00:00:00,12,2456,2425
270,2020-01-12T00:00:00,13,2771,2736
271,2020-01-12T00:00:00,14,2717,2683
272,2020-01-12T00:00:00,15,2679,2644
273,2020-01-12T00:00:00,16,2827,2785
274,2020-01-12T00:00:00,17,2885,2842
275,2020-01-12T00:00:00,18,2380,2345
276,2020-01-12T00:00:00,19,1917,1886
277,2020-01-12T00:00:00,20,1366,1344
278,2020-01-12T00:00:00,21,971,959
279,2020-01-12T00:00:00,22,751,745
280,2020-01-12T00:00:00,23,381,376
281,2020-01-13T00:00:00,0,85,85
282,2020-01-13T00:00:00,1,20,20
283,2020-01-13T00:00:00,2,4,4
284,2020-01-13T00:00:00,3,4,4
285,2020-01-13T00:00:00,4,4,4
286,2020-01-13T00:00:00,5,2,2
287,2020-01-13T00:00:00,6,221,220
288,2020-01-13T00:00:00,7,3792,3759
289,2020-01-13T00:00:00,8,3796,3760
290,2020-01-13T00:00:00,9,2493,2471
291,2020-01-13T00:00:00,10,2451,2430
292,2020-01-13T00:00:00,11,2901,2867
293,2020-01-13T00:00:00,12,3718,3683
294,2020-01-13T00:00:00,13,3201,3174
295,2020-01-13T00:00:00,14,2975,2933
296,2020-01-13T00:00:00,15,3869,3838
297,2020-01-13T00:00:00,16,3832,3793
298,2020-01-13T00:00:00,17,3356,3322
299,2020-01-13T00:00:00,18,3119,3079
300,2020-01-13T00:00:00,19,2317,2288
301,2020-01-13T00:00:00,20,1382,1370
302,2020-01-13T00:00:00,21,981,970
303,2020-01-13T00:00:00,22,633,630
304,2020-01-13T00:00:00,23,273,268
305,2020-01-14T00:00:00,0,76,76
306,2020-01-14T00:00:00,1,11,11
307,2020-01-14T00:00:00,2,5,5
308,2020-01-14T00:00:00,4,3,3
309,2020-01-14T00:00:00,5,3,3
310,2020-01-14T00:00:00,6,102,102
311,2020-01-14T00:00:00,7,2120,2112
312,2020-01-14T00:00:00,8,2781,2754
313,2020-01-14T00:00:00,9,2159,2138
314,2020-01-14T00:00:00,10,2117,2098
315,2020-01-14T00:00:00,11,2710,2688
316,2020-01-14T00:00:00,12,3267,3226
317,2020-01-14T00:00:00,13,3023,2999
318,2020-01-14T00:00:00,14,2709,2664
319,2020-01-14T00:00:00,15,3495,3451
320,2020-01-14T00:00:00,16,3525,3471
321,2020-01-14T00:00:00,17,2876,2847
322,2020-01-14T00:00:00,18,2746,2721
323,2020-01-14T00:00:00,19,2093,2064
324,2020-01-14T00:00:00,20,1389,1369
325,2020-01-14T00:00:00,21,940,926
326,2020-01-14T00:00:00,22,635,626
327,2020-01-14T00:00:00,23,236,231
328,2020-01-15T00:00:00,0,65,65
329,2020-01-15T00:00:00,1,13,13
330,2020-01-15T00:00:00,2,2,2
331,2020-01-15T00:00:00,3,5,5
332,2020-01-15T00:00:00,4,3,3
333,2020-01-15T00:00:00,5,3,3
334,2020-01-15T00:00:00,6,107,107
335,2020-01-15T00:00:00,7,1982,1971
336,2020-01-15T00:00:00,8,2605,2573
337,2020-01-15T00:00:00,9,2109,2090
338,2020-01-15T00:00:00,10,2087,2066
339,2020-01-15T00:00:00,11,2494,2465
340,2020-01-15T00:00:00,12,3326,3283
341,2020-01-15T00:00:00,13,3030,3004
342,2020-01-15T00:00:00,14,2748,2710
343,2020-01-15T00:00:00,15,3307,3276
344,2020-01-15T00:00:00,16,3343,3303
345,2020-01-15T00:00:00,17,3076,3041
346,2020-01-15T00:00:00,18,2814,2782
347,2020-01-15T00:00:00,19,2199,2162
348,2020-01-15T00:00:00,20,1423,1398
349,2020-01-15T00:00:00,21,941,930
350,2020-01-15T00:00:00,22,699,697
351,2020-01-15T00:00:00,23,265,259
352,2020-01-16T00:00:00,0,67,67
353,2020-01-16T00:00:00,1,4,4
354,2020-01-16T00:00:00,2,2,2
355,2020-01-16T00:00:00,3,3,3
356,2020-01-16T00:00:00,4,2,2
357,2020-01-16T00:00:00,5,1,1
358,2020-01-16T00:00:00,6,105,104
359,2020-01-16T00:00:00,7,1856,1842
360,2020-01-16T00:00:00,8,2606,2583
361,2020-01-16T00:00:00,9,2023,1996
362,2020-01-16T00:00:00,10,2165,2149
363,2020-01-16T00:00:00,11,2548,2522
364,2020-01-16T00:00:00,12,3269,3231
365,2020-01-16T00:00:00,13,2985,2938
366,2020-01-16T00:00:00,14,2852,2815
367,2020-01-16T00:00:00,15,3068,3020
368,2020-01-16T00:00:00,16,3215,3174
369,2020-01-16T00:00:00,17,2979,2942
370,2020-01-16T00:00:00,18,2735,2699
371,2020-01-16T00:00:00,19,2099,2078
372,2020-01-16T00:00:00,20,1486,1465
373,2020-01-16T00:00:00,21,953,935
374,2020-01-16T00:00:00,22,664,660
375,2020-01-16T00:00:00,23,293,285
376,2020-01-17T00:00:00,0,63,63
377,2020-01-17T00:00:00,1,8,8
378,2020-01-17T00:00:00,2,3,3
379,2020-01-17T00:00:00,3,3,3
380,2020-01-17T00:00:00,5,4,4
381,2020-01-17T00:00:00,6,101,101
382,2020-01-17T00:00:00,7,1776,1760
383,2020-01-17T00:00:00,8,2779,2746
384,2020-01-17T00:00:00,9,2595,2570
385,2020-01-17T00:00:00,10,2921,2881
386,2020-01-17T00:00:00,11,3301,3252
387,2020-01-17T00:00:00,12,3375,3341
388,2020-01-17T00:00:00,13,2251,2228
389,2020-01-17T00:00:00,14,3661,3615
390,2020-01-17T00:00:00,15,3160,3105
391,2020-01-17T00:00:00,16,3089,3050
392,2020-01-17T00:00:00,17,2857,2820
393,2020-01-17T00:00:00,18,2601,2574
394,2020-01-17T00:00:00,19,2050,2022
395,2020-01-17T00:00:00,20,1333,1317
396,2020-01-17T00:00:00,21,928,918
397,2020-01-17T00:00:00,22,663,658
398,2020-01-17T00:00:00,23,301,300
399,2020-01-18T00:00:00,0,61,61
