_id,ilce_adi,mahalle_adi,iyi_tarim_uygulamalari
203,Cihanbeyli,GÖLYAZI,HAYIR
204,Cihanbeyli,GÜNYÜZÜ,HAYIR
205,Cihanbeyli,İNSUYU,HAYIR
206,Cihanbeyli,KANDİL,HAYIR
207,Cihanbeyli,KARABAĞ,HAYIR
208,Cihanbeyli,KELHASAN,HAYIR
209,Cihanbeyli,KUŞCA,HAYIR
210,Cihanbeyli,KÜTÜKUŞAĞI,HAYIR
211,Cihanbeyli,TAŞPINAR,HAYIR
212,Cihanbeyli,BEYLİOVA,HAYIR
213,Cihanbeyli,ÇİMEN,HAYIR
214,Cihanbeyli,ÇÖL,HAYIR
215,Cihanbeyli,DAMLAKUYU,HAYIR
216,Cihanbeyli,BULDUK,HAYIR
217,Cihanbeyli,BÜYÜKBEŞKAVAK,HAYIR
218,Cihanbeyli,KARATEPE,HAYIR
219,Çumra,ARIKÖREN,HAYIR
220,Çumra,DEDEMOĞLU,HAYIR
221,Çumra,TÜRKMENCAMİLİ,HAYIR
222,Çumra,A.B.HÜYÜĞÜ,HAYIR
223,Çumra,DİNEK,HAYIR
224,Çumra,İÇERİÇUMRA,HAYIR
225,Çumra,GÜVERCİNLİK,EVET
226,Çumra,KARKIN,HAYIR
227,Çumra,OKÇU,HAYIR
228,Çumra,YENİSU,HAYIR
229,Çumra,APA,HAYIR
230,Çumra,ABDİTOLU,HAYIR
231,Çumra,ADAKALE,HAYIR
232,Çumra,ALEMDAR,HAYIR
233,Çumra,APASARAYCIK,HAYIR
234,Çumra,AFŞAR,HAYIR
235,Çumra,AVDUL,EVET
236,Çumra,BALÇIKHİSAR,HAYIR
237,Çumra,BEYLERCE,HAYIR
238,Çumra,B.AŞLAMA,HAYIR
239,Çumra,CİCEK,EVET
240,Çumra,ÇUKURKAVAK,HAYIR
241,Çumra,DİNLENDİK,HAYIR
242,Çumra,DİNEKSARAY,HAYIR
243,Çumra,DOĞANLI,EVET
244,Çumra,FETHİYE,HAYIR
245,Çumra,GÖKHÜYÜK,HAYIR
246,Çumra,ERENTEPE,HAYIR
247,Çumra,İNLİ,HAYIR
248,Çumra,KUZUCU,HAYIR
249,Çumra,KÜÇÜKKÖY,HAYIR
250,Çumra,SEÇME,HAYIR
251,Çumra,SÜRGÜÇ,HAYIR
252,Çumra,TAHTALI,HAYIR
253,Çumra,T.KARAHÜYÜK,HAYIR
254,Çumra,TAŞAĞIL,HAYIR
255,Çumra,UZUNKUYU,HAYIR
256,Çumra,ÜÇHÜYÜK,HAYIR
257,Çumra,ÜRÜNLÜ,HAYIR
258,Çumra,YÖRÜKCAMİLİ,HAYIR
259,Çumra,ÇAYBAŞI,EVET
260,Derbent,ÇİFTLİKÖZÜ,HAYIR
261,Derbent,DEĞİŞ,HAYIR
262,Derbent,TEKKE,HAYIR
263,Derbent,GÜNEYKÖY,HAYIR
264,Derbent,MÜLAYİM,HAYIR
265,Derbent,SARAYPINAR,HAYIR
266,Derbent,YASSIÖREN,HAYIR
267,Derbent,SÜLEYMAN,HAYIR
268,Derbent,KARALAR,HAYIR
269,Derebucak,ÇAMLIK,HAYIR
270,Derebucak,DURAK,HAYIR
271,Derebucak,GENCEK,HAYIR
272,Derebucak,GÖYNEM,EVET
273,Derebucak,PINARBAŞI,HAYIR
274,Derebucak,TAŞLIPINAR,HAYIR
275,Derebucak,TEPEARASI,HAYIR
276,Derebucak,UĞURLU,HAYIR
277,Doğanhisar,BAŞKÖY,HAYIR
278,Doğanhisar,YAZLICA,HAYIR
279,Doğanhisar,AYASLAR,HAYIR
280,Doğanhisar,ÇINAROBA,HAYIR
281,Doğanhisar,DEŞTİĞİN,HAYIR
282,Doğanhisar,FIRINLI,EVET
283,Doğanhisar,GÜVENDİK,HAYIR
284,Doğanhisar,İLYASLAR,HAYIR
285,Doğanhisar,KARAAĞA,HAYIR
286,Doğanhisar,KEMER,HAYIR
287,Doğanhisar,KOÇAŞ,HAYIR
288,Doğanhisar,KONAKKALE,HAYIR
289,Doğanhisar,TEKKE,HAYIR
290,Doğanhisar,UNCULAR,HAYIR
291,Doğanhisar,YAZIR,HAYIR
292,Doğanhisar,YENİCE,HAYIR
293,Emirgazi,EKİZLİ,HAYIR
294,Emirgazi,AKMESCİT,HAYIR
295,Emirgazi,BESCİ,HAYIR
296,Emirgazi,DEMİRCİ,HAYIR
297,Emirgazi,GÖLÖREN,HAYIR
298,Emirgazi,IŞIKLAR,HAYIR
299,Emirgazi,KARAÖREN,HAYIR
300,Emirgazi,MEŞELİ,HAYIR
301,Emirgazi,ÖBEKTAŞ,HAYIR
302,Emirgazi,YAMAÇ,HAYIR
303,Ereğli,ZENGEN,HAYIR
304,Ereğli,ACIPINAR,HAYIR
305,Ereğli,ADABAĞ,HAYIR
306,Ereğli,AKHÜYÜK,EVET
307,Ereğli,ALHAN,HAYIR
308,Ereğli,AŞAĞI GÖNDELEN,HAYIR
309,Ereğli,AŞIKLAR,HAYIR
310,Ereğli,AZİZİYE,EVET
311,Ereğli,BAHÇELİ,HAYIR
312,Ereğli,BELCEAĞAÇ,HAYIR
313,Ereğli,BELKAYA,HAYIR
314,Ereğli,BEYKÖY,HAYIR
315,Ereğli,BEYÖREN,HAYIR
316,Ereğli,BULGURLUK,EVET
317,Ereğli,BURHANİYE,HAYIR
318,Ereğli,BÜYÜKDEDE,HAYIR
319,Ereğli,ÇAKMAK,HAYIR
320,Ereğli,ÇAYHAN,HAYIR
321,Ereğli,ÇİLLER,EVET
322,Ereğli,ÇİMENCİK,HAYIR
323,Ereğli,GAYBİ,HAYIR
