_id,ilce_adi,mahalle_adi,iyi_tarim_uygulamalari
600,Meram,GÖKYURT,HAYIR
601,Meram,BAYAT,HAYIR
602,Meram,BORUKTOLU,HAYIR
603,Meram,BOTSA,HAYIR
604,Meram,ÇAYIRBAĞI,HAYIR
605,Meram,ÇOMAKLAR,HAYIR
606,Meram,ÇUKURÇİMEN,HAYIR
607,Meram,EVLİYATEKKE,HAYIR
608,Meram,HATUNSARAY,HAYIR
609,Meram,İKİPINAR,HAYIR
610,Meram,İLYASBABA,HAYIR
611,Meram,İNLİCE,HAYIR
612,Meram,KARAAĞAÇ,HAYIR
613,Meram,KAVAK,HAYIR
614,Meram,KAYADİBİ,HAYIR
615,Meram,KAYALI,HAYIR
616,Meram,KAYHÜYÜK,HAYIR
617,Meram,KIZILÖREN,HAYIR
618,Meram,KUMRALI,HAYIR
619,Meram,SADIKLAR,HAYIR
620,Meram,SAĞLIK,HAYIR
621,Meram,SARIKIZ,HAYIR
622,Meram,SEFAKÖY,HAYIR
623,Meram,YEŞİLDERE,HAYIR
624,Meram,YEŞİLTEKKE,HAYIR
625,Meram,KAŞINHANI,EVET
626,Sarayönü,LADİK,HAYIR
627,Sarayönü,BAHÇESARAY,HAYIR
628,Sarayönü,BAŞHÜYÜK,HAYIR
629,Sarayönü,BOYALI,HAYIR
630,Sarayönü,BÜYÜKZENGİ,HAYIR
631,Sarayönü,ÇEŞMELİSEBİL,HAYIR
632,Sarayönü,DEĞİRMENLİ,HAYIR
633,Sarayönü,ERTUĞRUL,HAYIR
634,Sarayönü,GÖZLÜ,HAYIR
635,Sarayönü,KADIOĞLU,HAYIR
636,Sarayönü,KARABIYIK,HAYIR
637,Sarayönü,KARATEPE,HAYIR
638,Sarayönü,KAYIÖREN,HAYIR
639,Sarayönü,KONAR,HAYIR
640,Sarayönü,KURŞUNLU,HAYIR
641,Sarayönü,KUYULUSEBİL,HAYIR
642,Sarayönü,ÖZKENT,HAYIR
643,Sarayönü,YENİCEKAYA,HAYIR
644,Selçuklu,BAŞARAKAVAK,""
645,Selçuklu,hasan,""
646,Selçuklu,SARAYKÖY,HAYIR
647,Selçuklu,SULUTAS,HAYIR
648,Selçuklu,TATKÖY,HAYIR
649,Selçuklu,AKPINAR,HAYIR
650,Selçuklu,BAĞRIKURT,HAYIR
651,Selçuklu,BİÇER,HAYIR
652,Selçuklu,ÇALDERE,HAYIR
653,Selçuklu,ÇALTI,HAYIR
654,Selçuklu,ÇANDIR,HAYIR
655,Selçuklu,DAĞDERE,HAYIR
656,Selçuklu,EĞRİBAYAT,HAYIR
657,Selçuklu,GÜVENÇ,HAYIR
658,Selçuklu,KALE,HAYIR
659,Selçuklu,KARAÖMERLER,HAYIR
660,Selçuklu,KERVAN,HAYIR
661,Selçuklu,KINIK,HAYIR
662,Selçuklu,KIZILCAKUYU,HAYIR
663,Selçuklu,MEYDAN,HAYIR
664,Selçuklu,SELAHATTİN,HAYIR
665,Selçuklu,SIZMA,HAYIR
666,Selçuklu,TEPEKENT,HAYIR
667,Selçuklu,ULUMUHSİNE,HAYIR
668,Selçuklu,YAZIBELEN,HAYIR
669,Selçuklu,SİLLE,HAYIR
670,Selçuklu,ARDIÇLI,HAYIR
671,Selçuklu,AŞAĞIPINARBAŞI,EVET
672,Selçuklu,YUKARIPINARBAŞI,HAYIR
673,Selçuklu,KÜÇÜKMUHSİNE,HAYIR
674,Selçuklu,SARICALAR,HAYIR
675,Selçuklu,TÖMEK,HAYIR
676,Selçuklu,YÜKSELEN,HAYIR
677,Selçuklu,Mehmet Fatih,""
678,Seydişehir,KESECİK,HAYIR
679,Seydişehir,AKÇALAR,HAYIR
680,Seydişehir,AŞAĞIKARAÖREN,EVET
681,Seydişehir,BAŞKARAÖREN,HAYIR
682,Seydişehir,BOSTANDERE,HAYIR
683,Seydişehir,BOYALI,HAYIR
684,Seydişehir,BÜKÇE,HAYIR
685,Seydişehir,ÇAT,HAYIR
686,Seydişehir,ÇATMAKAYA,HAYIR
687,Seydişehir,ÇAVUŞ,HAYIR
688,Seydişehir,DİKİLİTAŞ,HAYIR
689,Seydişehir,GEVREKLİ,HAYIR
690,Seydişehir,GÖKÇEHÜYÜK,HAYIR
691,Seydişehir,GÖKHÜYÜK,HAYIR
692,Seydişehir,GÖLYÜZÜ,HAYIR
693,Seydişehir,IRMAKLI,HAYIR
694,Seydişehir,İNCESU,HAYIR
695,Seydişehir,KARABULAK,HAYIR
696,Seydişehir,KARACAÖREN,HAYIR
697,Seydişehir,KAVAK,HAYIR
698,Seydişehir,KETENLİ,HAYIR
699,Seydişehir,KIZILCA,HAYIR
700,Seydişehir,KOZLU,HAYIR
701,Seydişehir,KUMLUCA,HAYIR
702,Seydişehir,KURAN,HAYIR
703,Seydişehir,MADENLİ,HAYIR
704,Seydişehir,MESUDİYE,HAYIR
705,Seydişehir,MURADİYE,HAYIR
706,Seydişehir,OĞLAKÇI,HAYIR
707,Seydişehir,ORTAKARAÖREN,HAYIR
708,Seydişehir,SARAYCIK,HAYIR
709,Seydişehir,SUSUZ,HAYIR
710,Seydişehir,TARAŞÇI,HAYIR
711,Seydişehir,TAŞAĞIL,HAYIR
712,Seydişehir,TEPECİK,HAYIR
713,Seydişehir,TOL,HAYIR
714,Seydişehir,UFACIK,HAYIR
715,Seydişehir,YAYLACIK,HAYIR
716,Seydişehir,YENİCE,HAYIR
717,Taşkent,AFŞAR,HAYIR
718,Taşkent,BALCILAR,HAYIR
719,Taşkent,BOLAY,HAYIR
720,Taşkent,ÇETMİ,HAYIR
721,Taşkent,KECİMEN,HAYIR
722,Taşkent,KONGUL,HAYIR
723,Taşkent,SAZAK,HAYIR
724,Taşkent,ILICAPINAR,HAYIR
725,Tuzlukçu,KONARI,HAYIR
726,Tuzlukçu,MEVLÜTLÜ,HAYIR
727,Tuzlukçu,KORAŞI,HAYIR
728,Tuzlukçu,ÇÖĞÜRLÜ,HAYIR
729,Tuzlukçu,TURSUNLU,HAYIR
730,Tuzlukçu,KUNDULLU,HAYIR
731,Tuzlukçu,PAZARKAYA,HAYIR
732,Tuzlukçu,SUBATAN,HAYIR
733,Tuzlukçu,GÜRSU,HAYIR
734,Tuzlukçu,ERDOĞDU,EVET
735,Tuzlukçu,KÖKLÜCE,HAYIR
736,Yalıhüyük,SARAY,HAYIR
737,Yalıhüyük,ARASÖĞÜT,HAYIR
738,Yunak,KUZÖREN,HAYIR
739,Yunak,KOÇYAZI,HAYIR
740,Yunak,TURGUT,EVET
741,Yunak,PİRİBEYLİ,HAYIR
742,Yunak,SÜLÜKLÜ,HAYIR
743,Yunak,ALTINÖZ,EVET
744,Yunak,AYRITEPE,HAYIR
745,Yunak,BEŞIŞIKLI,HAYIR
746,Yunak,CEBRAİL,HAYIR
747,Yunak,ÇAYIRBAŞI,HAYIR
748,Yunak,EĞRİKUYU,HAYIR
749,Yunak,HACIÖMEROĞLU,HAYIR
750,Yunak,HATIRLI,EVET
751,Yunak,HACIFAKILI,HAYIR
752,Yunak,HARUNLAR,EVET
753,Yunak,HURSUNLU,HAYIR
754,Yunak,İMAMOĞLU,HAYIR
755,Yunak,KARGALI,HAYIR
756,Yunak,KARAYAYLA,EVET
757,Yunak,KILLAR,HAYIR
758,Yunak,KURTUŞAĞI,HAYIR
759,Yunak,KUYUBAŞI,EVET
760,Yunak,MEŞELİK,HAYIR
761,Yunak,ODABAŞI,HAYIR
762,Yunak,ORTAKIŞLA,HAYIR
763,Yunak,ÖZYAYLA,HAYIR
764,Yunak,SERTLER,EVET
765,Yunak,SEVİNÇ,HAYIR
766,Yunak,SIRAM,HAYIR
767,Yunak,SİNANLI,HAYIR
768,Yunak,YAVAŞLI,HAYIR
769,Yunak,YEŞİLOBA,EVET
770,Yunak,YEŞİLYAYLA,EVET
771,Yunak,YIĞAR,HAYIR
772,Yunak,SARAY,HAYIR
773,"","",""
