ilce,mahalle,mahalle_turu
BOZKIR,HAMZALAR,MAHALLE
BOZKIR,HARMANPINAR,MAHALLE
BOZKIR,HISARLIK,MAHALLE
BOZKIR,KUZÖREN,MAHALLE
BOZKIR,SARIOĞLAN,MAHALLE
BOZKIR,SORKUN,MAHALLE
BOZKIR,SÖĞÜT,MAHALLE
BOZKIR,ÜÇPINAR,MAHALLE
BOZKIR,YUKARI,MAHALLE
BOZKIR,AKÇAPINAR,KIRSAL MAHALLE                   
BOZKIR,ARMUTLU,KIRSAL MAHALLE                   
BOZKIR,ARSLANTAŞ,KIRSAL MAHALLE                   
BOZKIR,AYDINKIŞLA,KIRSAL MAHALLE                   
BOZKIR,AYVALCA,KIRSAL MAHALLE                   
BOZKIR,BAĞYURDU,KIRSAL MAHALLE                   
BOZKIR,BAYBAĞAN,KIRSAL MAHALLE                   
BOZKIR,BOZDAM,KIRSAL MAHALLE                   
BOZKIR,ELMAAĞAÇ,KIRSAL MAHALLE                   
BOZKIR,HACILAR,KIRSAL MAHALLE                   
BOZKIR,HACIYUNUSLAR,KIRSAL MAHALLE                   
BOZKIR,IŞIKLAR,KIRSAL MAHALLE                   
BOZKIR,KARABAYIR,KIRSAL MAHALLE                   
BOZKIR,KARACAARDIÇ,KIRSAL MAHALLE                   
BOZKIR,KARACAHISAR,KIRSAL MAHALLE                   
BOZKIR,KARAYAHYA,KIRSAL MAHALLE                   
BOZKIR,KAYACILAR,KIRSAL MAHALLE                   
BOZKIR,KAYAPINAR,KIRSAL MAHALLE                   
BOZKIR,KINIK,KIRSAL MAHALLE                   
BOZKIR,KIZILÇAKIR,KIRSAL MAHALLE                   
BOZKIR,KILDERE,KIRSAL MAHALLE                   
BOZKIR,KOVANLIK,KIRSAL MAHALLE                   
BOZKIR,KOZAĞAÇ,KIRSAL MAHALLE                   
BOZKIR,KUŞCA,KIRSAL MAHALLE                   
BOZKIR,KÜÇÜKHISARLIK,KIRSAL MAHALLE                   
BOZKIR,PINARCIK,KIRSAL MAHALLE                   
BOZKIR,SAZLI,KIRSAL MAHALLE                   
BOZKIR,SOĞUCAK,KIRSAL MAHALLE                   
BOZKIR,TARLABAŞI,KIRSAL MAHALLE                   
BOZKIR,TAŞBAŞI,KIRSAL MAHALLE                   
BOZKIR,TEPEARASI,KIRSAL MAHALLE                   
BOZKIR,TEPELICE,KIRSAL MAHALLE                   
BOZKIR,ULUPINAR,KIRSAL MAHALLE                   
BOZKIR,YALNIZCA,KIRSAL MAHALLE                   
BOZKIR,YAZDAMI,KIRSAL MAHALLE                   
BOZKIR,YELBEĞI,KIRSAL MAHALLE                   
BOZKIR,YENIKÖY,KIRSAL MAHALLE                   
BOZKIR,YOLÖREN,KIRSAL MAHALLE                   
