_id,Ilce,mahalle,mahalle_turu
205,BOZKIR,KIZILÇAKIR,KIRSALMAHALLE                   
206,BOZKIR,KILDERE,KIRSALMAHALLE                   
207,BOZKIR,KOVANLIK,KIRSALMAHALLE                   
208,BOZKIR,KOZAÐAÇ,KIRSALMAHALLE                   
209,BOZKIR,KUÞCA,KIRSALMAHALLE                   
210,BOZKIR,KÜÇÜKHISARLIK,KIRSALMAHALLE                   
211,BOZKIR,PINARCIK,KIRSALMAHALLE                   
212,BOZKIR,SAZLI,KIRSALMAHALLE                   
213,BOZKIR,SOÐUCAK,KIRSALMAHALLE                   
214,BOZKIR,TARLABAÞI,KIRSALMAHALLE                   
215,BOZKIR,TAÞBAÞI,KIRSALMAHALLE                   
216,BOZKIR,TEPEARASI,KIRSALMAHALLE                   
217,BOZKIR,TEPELICE,KIRSALMAHALLE                   
218,BOZKIR,ULUPINAR,KIRSALMAHALLE                   
219,BOZKIR,YALNIZCA,KIRSALMAHALLE                   
220,BOZKIR,YAZDAMI,KIRSALMAHALLE                   
221,BOZKIR,YELBEÐI,KIRSALMAHALLE                   
222,BOZKIR,YENIKÖY,KIRSALMAHALLE                   
223,BOZKIR,YOLÖREN,KIRSALMAHALLE                   
224,CIHANBEYLI,AHIRIGÜZEL,MAHALLE
225,CIHANBEYLI,ATÇEKEN,MAHALLE
226,CIHANBEYLI,BAHÇELIEVLER,MAHALLE
227,CIHANBEYLI,BULDUK,MAHALLE
228,CIHANBEYLI,BÜYÜKBEÞKAVAK,MAHALLE
229,CIHANBEYLI,CUMHURIYET,MAHALLE
230,CIHANBEYLI,GEMECIK,MAHALLE
231,CIHANBEYLI,GÖKTEPE,MAHALLE
232,CIHANBEYLI,GÖLYAZI,MAHALLE
233,CIHANBEYLI,GÜNYÜZÜ,MAHALLE
234,CIHANBEYLI,INSUYU,MAHALLE
235,CIHANBEYLI,KALE,MAHALLE
236,CIHANBEYLI,KANDIL,MAHALLE
237,CIHANBEYLI,KARABAÐ,MAHALLE
238,CIHANBEYLI,KARATEPE,MAHALLE
239,CIHANBEYLI,KARÞIYAKA,MAHALLE
240,CIHANBEYLI,KELHASAN,MAHALLE
241,CIHANBEYLI,KOCATEPE,MAHALLE
242,CIHANBEYLI,KÖPRÜBAÞI,MAHALLE
243,CIHANBEYLI,KUÞÇA,MAHALLE
244,CIHANBEYLI,KÜTÜKUÞAÐI,MAHALLE
245,CIHANBEYLI,PINARBAÞI,MAHALLE
246,CIHANBEYLI,TAÞPINAR,MAHALLE
247,CIHANBEYLI,ÜZERLIKTEPE,MAHALLE
248,CIHANBEYLI,YAPALI,MAHALLE
249,CIHANBEYLI,YENICEOBA,MAHALLE
250,CIHANBEYLI,YENIYAYLA,MAHALLE
251,CIHANBEYLI,YEÞILÖZ,MAHALLE
252,CIHANBEYLI,AÐABEYLI,KIRSALMAHALLE                   
253,CIHANBEYLI,BEYLIOVA,KIRSALMAHALLE                   
254,CIHANBEYLI,BÖÐRÜDELIK,KIRSALMAHALLE                   
255,CIHANBEYLI,ÇIMEN,KIRSALMAHALLE                   
256,CIHANBEYLI,ÇÖL,KIRSALMAHALLE                   
257,CIHANBEYLI,DAMLAKUYU,KIRSALMAHALLE                   
258,CIHANBEYLI,HODOÐLU,KIRSALMAHALLE                   
259,CIHANBEYLI,KAYI,KIRSALMAHALLE                   
260,CIHANBEYLI,KIRKIÞLA,KIRSALMAHALLE                   
261,CIHANBEYLI,KORKMAZLAR,KIRSALMAHALLE                   
262,CIHANBEYLI,KÜÇÜKBEÞKAVAK,KIRSALMAHALLE                   
263,CIHANBEYLI,MUTLUKONAK,KIRSALMAHALLE                   
264,CIHANBEYLI,SAÐLIK,KIRSALMAHALLE                   
265,CIHANBEYLI,SIÐIRCIK,KIRSALMAHALLE                   
266,CIHANBEYLI,TURANLAR,KIRSALMAHALLE                   
267,CIHANBEYLI,TÜFEKÇIPINAR,KIRSALMAHALLE                   
268,CIHANBEYLI,UZUNCAYAYLA,KIRSALMAHALLE                   
269,CIHANBEYLI,YÜNLÜKUYU,KIRSALMAHALLE                   
270,CIHANBEYLI,ZAFERIYE,KIRSALMAHALLE                   
271,ÇELTIK,BAHÇE HISAR,MAHALLE
272,ÇELTIK,BAHÇE SARAY,MAHALLE
273,ÇELTIK,BAHÇELIEVLER,MAHALLE
274,ÇELTIK,FATIH,MAHALLE
275,ÇELTIK,GÖKPINAR,MAHALLE
276,ÇELTIK,HONAMLI,MAHALLE
277,ÇELTIK,KARÞIYAKA,MAHALLE
278,ÇELTIK,KÜÇÜKHASAN,MAHALLE
279,ÇELTIK,SELÇUK,MAHALLE
280,ÇELTIK,ADAKASIM,KIRSALMAHALLE                   
281,ÇELTIK,DOÐANYURT,KIRSALMAHALLE                   
282,ÇELTIK,ISHAKUÞAÐI,KIRSALMAHALLE                   
283,ÇELTIK,KAÞÖREN,KIRSALMAHALLE                   
284,ÇELTIK,TORUNLAR,KIRSALMAHALLE                   
285,ÇUMRA,ALISSA,MAHALLE
286,ÇUMRA,ALIBEYHÜYÜÐÜ,MAHALLE
287,ÇUMRA,APA,MAHALLE
288,ÇUMRA,ARIKÖREN,MAHALLE
289,ÇUMRA,BAÐLAR,MAHALLE
290,ÇUMRA,BAKKALBAÞI,MAHALLE
291,ÇUMRA,BARAJ,MAHALLE
292,ÇUMRA,BARDAKÇI,MAHALLE
293,ÇUMRA,CUMHURIYET,MAHALLE
294,ÇUMRA,ÇAYBAÞI,MAHALLE
295,ÇUMRA,DINEK,MAHALLE
296,ÇUMRA,GÜVERCINLIK,MAHALLE
297,ÇUMRA,HÜRRIYET,MAHALLE
298,ÇUMRA,IÇERIÇUMRA,MAHALLE
299,ÇUMRA,ISTIKLAL,MAHALLE
300,ÇUMRA,IZZETBEY,MAHALLE
301,ÇUMRA,KARKIN,MAHALLE
